framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.28855250709555347,0.33851276359600446,0.3115423901940756,901,305,901,0.33851276359600446
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7220670391061452,0.8141732283464567,0.765358993338268,635,517,635,0.8141732283464567
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.47596153846153844,0.668918918918919,0.5561797752808989,444,297,444,0.668918918918919
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.9864253393665159,0.9383070301291249,0.961764705882353,697,654,697,0.9383070301291249
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.8219354838709677,0.4673514306676449,0.5958840037418148,1363,637,1363,0.4673514306676449
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4598957039980134,0.588496981251986,0.5163088932255366,3147,1852,3147,0.588496981251986
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7483617300131061,0.5062056737588653,0.6039132734003173,1128,571,1128,0.5062056737588653
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.42489568845618914,0.34954233409610985,0.38355304456999373,1748,611,1748,0.34954233409610985
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,1,0.5776201733648542,0.8135405105438401,0.6755760368663595,901,733,901,0.8135405105438401
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,2,0.411697247706422,0.5653543307086614,0.47644326476443266,635,359,635,0.5653543307086614
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,3,0.2516778523489933,0.16891891891891891,0.20215633423180593,444,75,444,0.16891891891891891
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,4,0.542528735632184,0.3385939741750359,0.4169611307420495,697,236,697,0.3385939741750359
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,5,0.30837988826815643,0.202494497432135,0.24446412754650132,1363,276,1363,0.202494497432135
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,6,0.4051819184123484,0.4671115347950429,0.43394833948339484,3147,1470,3147,0.4671115347950429
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,7,0.46311970979443773,0.3395390070921986,0.3918158567774936,1128,383,1128,0.3395390070921986
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,8,0.28820010875475804,0.30320366132723114,0.29551156955673263,1748,530,1748,0.30320366132723114
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,1,0.2558932121556376,1.0,0.4075079149706015,901,901,901,1.0
