framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.3030769230769231,0.43729189789123196,0.35801908223534756,901,394,901,0.43729189789123196
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.8434343434343434,0.7889763779527559,0.8152969894222946,635,501,635,0.7889763779527559
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.601113172541744,0.7297297297297297,0.659206510681587,444,324,444,0.7297297297297297
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,1.0,0.7388809182209469,0.8498349834983498,697,515,697,0.7388809182209469
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.7867158671586716,0.7820983125458547,0.7844002943340692,1363,1066,1363,0.7820983125458547
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.5188679245283019,0.5068319034000636,0.5127792959331298,3147,1595,3147,0.5068319034000636
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.8410526315789474,0.7083333333333334,0.7690086621751684,1128,799,1128,0.7083333333333334
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.40034562211981567,0.3975972540045767,0.3989667049368542,1748,695,1748,0.3975972540045767
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,1,0.51994851994852,0.8967813540510544,0.6582484725050917,901,808,901,0.8967813540510544
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,2,0.49121184088806663,0.8362204724409449,0.6188811188811189,635,531,635,0.8362204724409449
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,3,0.23915737298636927,0.4346846846846847,0.3085531574740208,444,193,444,0.4346846846846847
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,4,0.7220394736842105,0.629842180774749,0.6727969348659004,697,439,697,0.629842180774749
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,5,0.5244979919678715,0.47909024211298606,0.5007668711656442,1363,653,1363,0.47909024211298606
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,6,0.5338664158043274,0.3606609469335875,0.430494974397876,3147,1135,3147,0.3606609469335875
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,7,0.680119581464873,0.4033687943262411,0.5063995548135782,1128,455,1128,0.4033687943262411
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,8,0.35985808413583376,0.4061784897025172,0.38161784466541254,1748,710,1748,0.4061784897025172
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,1,0.250423968343697,0.9833518312985572,0.39918900653300293,901,886,901,0.9833518312985572
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,2,0.23963133640552994,0.08188976377952756,0.12206572769953052,635,52,635,0.08188976377952756
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,3,0.28804347826086957,0.11936936936936937,0.16878980891719744,444,53,444,0.11936936936936937
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,4,0.5563636363636364,0.21951219512195122,0.3148148148148148,697,153,697,0.21951219512195122
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,5,0.17025641025641025,0.12179016874541453,0.1420017108639863,1363,166,1363,0.12179016874541453
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,6,0.3053343949044586,0.24372418176040675,0.2710726276727337,3147,767,3147,0.24372418176040675
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,7,0.27091633466135456,0.12056737588652482,0.1668711656441718,1128,136,1128,0.12056737588652482
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,8,0.4881720430107527,0.5194508009153318,0.5033259423503326,1748,908,1748,0.5194508009153318
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,1,0.16856677524429967,0.2297447280799112,0.1944574917801785,901,207,901,0.2297447280799112
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,2,0.30156657963446476,0.3637795275590551,0.3297644539614561,635,231,635,0.3637795275590551
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,3,0.13773148148148148,0.8040540540540541,0.23517786561264822,444,357,444,0.8040540540540541
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,4,0.1693548387096774,0.15064562410329985,0.15945330296127563,697,105,697,0.15064562410329985
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,5,0.38095238095238093,0.01760821716801174,0.033660589060308554,1363,24,1363,0.01760821716801174
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,6,0.374503430841459,0.32952017794725136,0.3505747126436782,3147,1037,3147,0.32952017794725136
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,7,0.725,0.10283687943262411,0.18012422360248448,1128,116,1128,0.10283687943262411
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,8,0.08150134048257372,0.08695652173913043,0.08414060337669527,1748,152,1748,0.08695652173913043
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.5644329896907216,0.48612652608213097,0.5223613595706619,901,438,901,0.48612652608213097
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.7769516728624535,0.658267716535433,0.7127024722932651,635,418,635,0.658267716535433
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.20873427091043673,0.6351351351351351,0.31420612813370474,444,282,444,0.6351351351351351
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.5430232558139535,0.6700143472022956,0.5998715478484264,697,467,697,0.6700143472022956
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.41569360112097153,0.652971386647102,0.5079908675799086,1363,890,1363,0.652971386647102
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.591828639428798,0.47410231966952654,0.5264643613267467,3147,1492,3147,0.47410231966952654
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.841246290801187,0.5026595744680851,0.6293007769145395,1128,567,1128,0.5026595744680851
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.37603993344425957,0.2585812356979405,0.3064406779661017,1748,452,1748,0.2585812356979405
aeon,MiniRocketClassifier,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.45686619718309857,0.5760266370699223,0.5095729013254786,901,519,901,0.5760266370699223
aeon,MiniRocketClassifier,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7868383404864091,0.8661417322834646,0.8245877061469266,635,550,635,0.8661417322834646
aeon,MiniRocketClassifier,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.8495821727019499,0.6869369369369369,0.7596513075965131,444,305,444,0.6869369369369369
