framework,model,experiment,native_modality,native_hz,channels,description,input_shape_train_native_N_T_C,input_shape_test_native_N_T_C,input_shape_train_framework_N_C_T,input_shape_test_framework_N_C_T,epochs,best_epoch_by_val_accuracy,best_val_accuracy,saved_best_model_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,n_kernels,n_jobs,saved_model_file
tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[30762, 256, 3]","[10063, 256, 3]","[30762, 3, 256]","[10063, 3, 256]",50.0,34.0,0.7380327582359314,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_acc.pth,False,,1024.0,0.001,0.5852131571102057,0.6618258105548434,0.6362174658848117,0.6434390654021,0.6087876344724213,0.5852131571102057,0.5935606749736944,0.6362174658848117,,,
tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,BVP only,"[30762, 512, 1]","[10063, 512, 1]","[30762, 1, 512]","[10063, 1, 512]",50.0,15.0,0.5247541069984436,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_bvp.pth,False,,1024.0,0.001,0.4893173010036768,0.508837410110009,0.5558533956283456,0.5097198660960804,0.5148579662875507,0.4893173010036768,0.48371341248835753,0.5558533956283456,,,
tsai,InceptionTimePlus,real_to_real,eda,4,EDA,EDA only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",50.0,49.0,0.5367212891578674,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_eda.pth,False,,1024.0,0.001,0.3101460796979032,0.32114270027583863,0.3012069608596354,0.26101635056197126,0.3225022197767152,0.3101460796979032,0.282838909503062,0.3012069608596354,,,
tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,TEMP only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",50.0,25.0,0.3852458894252777,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_temp.pth,False,,1024.0,0.001,0.2215045215144589,0.2923971034182921,0.26064321626041725,0.19591915537484061,0.3160718750055776,0.2215045215144589,0.2086416034344044,0.26064321626041725,,,
tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[30762, 512, 6]","[10063, 512, 6]","[30762, 6, 512]","[10063, 6, 512]",50.0,7.0,0.7673770785331726,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_fused.pth,False,,1024.0,0.001,0.497465964424128,0.5397438317590977,0.542232280179706,0.5149172739541693,0.5473916712570976,0.497465964424128,0.504374055815576,0.542232280179706,,,
aeon,MiniRocketClassifier,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[30762, 256, 3]","[10063, 256, 3]","[30762, 3, 256]","[10063, 3, 256]",,,,,False,,,,0.6883633111398192,0.7527881709611168,0.7185658776929196,0.7304104066488211,0.7047864943231517,0.6883633111398192,0.692390890831228,0.7185658776929196,5000.0,8.0,tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib
aeon,MiniRocketClassifier,real_to_real,bvp,64,BVP,BVP only,"[30762, 512, 1]","[10063, 512, 1]","[30762, 1, 512]","[10063, 1, 512]",,,,,False,,,,0.44996521911954684,0.49500204922287894,0.4647683213417287,0.465452161011634,0.46298124047703093,0.44996521911954684,0.4454381431824027,0.4647683213417287,5000.0,8.0,tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_bvp.joblib
aeon,MiniRocketClassifier,real_to_real,eda,4,EDA,EDA only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",,,,,False,,,,0.3029911557189705,0.2791370352800988,0.2663784926816365,0.24477248330723497,0.3042074915952093,0.3029911557189705,0.28478853044440633,0.2663784926816365,5000.0,8.0,tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_eda.joblib
aeon,MiniRocketClassifier,real_to_real,temp,4,TEMP,TEMP only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",,,,,False,,,,0.18264930935108814,0.18566749663842846,0.17325617682701042,0.14558612912301333,0.24063925823477597,0.18264930935108814,0.18856959508631027,0.17325617682701042,5000.0,8.0,tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_temp.joblib
aeon,MiniRocketClassifier,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[30762, 512, 6]","[10063, 512, 6]","[30762, 6, 512]","[10063, 6, 512]",,,,,False,,,,0.6888601808605783,0.7315083650933523,0.7698860156409424,0.730756709009291,0.7219507989462434,0.6888601808605783,0.6899727507035359,0.7698860156409424,5000.0,8.0,tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_fused.joblib
