model_family,method,method_display_name,real_subject,synthetic_subject,branch,channel,hz,window_len,shift_len,real_num_windows,synthetic_num_windows,real_spaced_duration_sec,real_center_duration_sec,synthetic_duration_sec,comparison_duration_sec,synthetic_plot_order_mode,synthetic_reconstruction_mode,real_expected_shift_ratio,figure_path
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,ACC,ACC_x,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/ACC_ACC_x_three_way.png
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,ACC,ACC_y,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/ACC_ACC_y_three_way.png
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,ACC,ACC_z,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/ACC_ACC_z_three_way.png
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,BVP,BVP,64,512,128,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/BVP_BVP_three_way.png
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,SLOW,EDA,4,32,8,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/SLOW_EDA_three_way.png
kovae,rollout_v1,KoVAE-Rollout,S1,synthetic_subject_01,SLOW,TEMP,4,32,8,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/rollout_v1/three_way/S1_vs_synthetic_subject_01/SLOW_TEMP_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,ACC,ACC_x,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/ACC_ACC_x_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,ACC,ACC_y,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/ACC_ACC_y_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,ACC,ACC_z,32,256,64,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/ACC_ACC_z_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,BVP,BVP,64,512,128,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/BVP_BVP_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,SLOW,EDA,4,32,8,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/SLOW_EDA_three_way.png
kovae,posterior_bank_v2,KoVAE-Posterior,S1,synthetic_subject_01,SLOW,TEMP,4,32,8,3445,3000,8890.0,6890.0,6000.0,,activity_blocks,window_based,0.9979674796747967,/home/iailab42/khans1/projects/ir/figures/comparison/kovae/posterior_bank_v2/three_way/S1_vs_synthetic_subject_01/SLOW_TEMP_three_way.png
