framework,model,experiment,synthetic_method,modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.5188743994509266,0.9379652605459057,0.6681396376491383,806,756,806,0.9379652605459057
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.8990066225165563,0.8551181102362204,0.8765133171912833,635,543,635,0.8551181102362204
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.49801849405548215,0.8490990990990991,0.6278101582014988,444,377,444,0.8490990990990991
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,1.0,0.96987087517934,0.9847050254916242,697,676,697,0.96987087517934
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.8957854406130268,0.8582966226138032,0.8766404199475065,1362,1169,1362,0.8582966226138032
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.6749049429657795,0.4536741214057508,0.5426060374474589,3130,1420,3130,0.4536741214057508
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7673888255416191,0.5987544483985765,0.672663668165917,1124,673,1124,0.5987544483985765
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.5171455050973123,0.6413793103448275,0.5726013340174448,1740,1116,1740,0.6413793103448275
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.2082625919637804,0.913151364764268,0.3391705069124424,806,736,806,0.913151364764268
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.6533101045296167,0.5905511811023622,0.6203473945409429,635,375,635,0.5905511811023622
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.18199233716475097,0.21396396396396397,0.19668737060041408,444,95,444,0.21396396396396397
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.28083989501312334,0.921090387374462,0.43043915521287296,697,642,697,0.921090387374462
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.17857142857142858,0.05873715124816446,0.08839779005524862,1362,80,1362,0.05873715124816446
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.5955882352941176,0.02587859424920128,0.049601959583588484,3130,81,3130,0.02587859424920128
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.38431542461005197,0.7891459074733096,0.5168997668997669,1124,887,1124,0.7891459074733096
aeon,MiniRocketClassifier,synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.8538461538461538,0.06379310344827586,0.11871657754010695,1740,111,1740,0.06379310344827586
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.6268533772652389,0.9441687344913151,0.7534653465346535,806,761,806,0.9441687344913151
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.8548895899053628,0.8535433070866142,0.8542159180457053,635,542,635,0.8535433070866142
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.37661050545094155,0.8558558558558559,0.5230557467309016,444,380,444,0.8558558558558559
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,1.0,0.9296987087517934,0.9635687732342008,697,648,697,0.9296987087517934
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.8800940438871473,0.8245227606461086,0.8514025777103866,1362,1123,1362,0.8245227606461086
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.6839534009770762,0.5814696485623003,0.6285615610429978,3130,1820,3130,0.5814696485623003
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7532299741602068,0.5186832740213523,0.6143308746048473,1124,583,1124,0.5186832740213523
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.6411149825783972,0.6344827586206897,0.6377816291161178,1740,1104,1740,0.6344827586206897
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.0,0.0,0.0,898,0,898,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.0,0.0,0.0,589,0,589,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.0,0.0,0.0,417,0,417,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.0,0.0,0.0,677,0,677,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.6008064516129032,0.10368823938761308,0.1768545994065282,1437,149,1437,0.10368823938761308
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.2836895645216596,0.997588424437299,0.44175491679273826,2488,2482,2488,0.997588424437299
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.0,0.0,0.0,862,0,862,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__rollout_v1,rollout_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.0,0.0,0.0,1632,0,1632,0.0
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.46331236897274636,0.8225806451612904,0.5927581582476531,806,663,806,0.8225806451612904
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.8998302207130731,0.8346456692913385,0.8660130718954249,635,530,635,0.8346456692913385
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.44519774011299434,0.8873873873873874,0.5929270127915726,444,394,444,0.8873873873873874
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.900516795865633,1.0,0.947654656696125,697,697,697,1.0
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.6829558998808105,0.8414096916299559,0.7539473684210526,1362,1146,1362,0.8414096916299559
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.6354587869362364,0.6527156549520767,0.6439716312056738,3130,2043,3130,0.6527156549520767
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7182628062360802,0.5738434163701067,0.6379821958456974,1124,645,1124,0.5738434163701067
aeon,MiniRocketClassifier,synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.7435897435897436,0.2,0.31521739130434784,1740,348,1740,0.2
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.6292682926829268,0.9602977667493796,0.7603143418467584,806,774,806,0.9602977667493796
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.8753993610223643,0.862992125984252,0.8691514670896114,635,548,635,0.862992125984252
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.3609885260370697,0.9211711711711712,0.518706404565631,444,409,444,0.9211711711711712
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,1.0,0.9440459110473458,0.9712177121771217,697,658,697,0.9440459110473458
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.886858137510879,0.7481644640234949,0.8116288331342095,1362,1019,1362,0.7481644640234949
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.7230586370839936,0.5830670926517572,0.6455606650159179,3130,1825,3130,0.5830670926517572
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7674418604651163,0.5871886120996441,0.6653225806451613,1124,660,1124,0.5871886120996441
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.6478953356086462,0.6545977011494253,0.6512292738707833,1740,1139,1740,0.6545977011494253
aeon,MiniRocketClassifier,real_to_3synthetic__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.9558823529411765,0.381903642773208,0.5457598656591099,851,325,851,0.381903642773208
aeon,MiniRocketClassifier,real_to_3synthetic__posterior_bank_v2,posterior_bank_v2,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.9513513513513514,0.8461538461538461,0.8956743002544529,624,528,624,0.8461538461538461
