framework,model,experiment,synthetic_method,modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.5188743994509266,0.9379652605459057,0.6681396376491383,806,756,806,0.9379652605459057
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.8990066225165563,0.8551181102362204,0.8765133171912833,635,543,635,0.8551181102362204
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.49801849405548215,0.8490990990990991,0.6278101582014988,444,377,444,0.8490990990990991
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,1.0,0.96987087517934,0.9847050254916242,697,676,697,0.96987087517934
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.8957854406130268,0.8582966226138032,0.8766404199475065,1362,1169,1362,0.8582966226138032
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.6749049429657795,0.4536741214057508,0.5426060374474589,3130,1420,3130,0.4536741214057508
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7673888255416191,0.5987544483985765,0.672663668165917,1124,673,1124,0.5987544483985765
aeon,MiniRocketClassifier,real_to_real,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.5171455050973123,0.6413793103448275,0.5726013340174448,1740,1116,1740,0.6413793103448275
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.13040765391014975,0.7779156327543424,0.2233701460634129,806,627,806,0.7779156327543424
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.45302445302445304,0.5543307086614173,0.4985835694050991,635,352,635,0.5543307086614173
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.0,0.0,0.0,444,0,444,0.0
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.4551083591331269,0.8436154949784792,0.5912518853695324,697,588,697,0.8436154949784792
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.46621621621621623,0.6079295154185022,0.5277246653919694,1362,828,1362,0.6079295154185022
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.0,0.0,0.0,3130,0,3130,0.0
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.6353591160220995,0.4092526690391459,0.49783549783549785,1124,460,1124,0.4092526690391459
aeon,MiniRocketClassifier,synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.3805970149253731,0.11724137931034483,0.17926186291739896,1740,204,1740,0.11724137931034483
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.7262569832402235,0.967741935483871,0.8297872340425532,806,780,806,0.967741935483871
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.9322344322344323,0.8015748031496063,0.8619813717188823,635,509,635,0.8015748031496063
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.3359497645211931,0.963963963963964,0.49825378346915017,444,428,444,0.963963963963964
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.939521800281294,0.9583931133428981,0.9488636363636364,697,668,697,0.9583931133428981
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.9439775910364145,0.7422907488986784,0.8310727496917386,1362,1011,1362,0.7422907488986784
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.7145359019264448,0.6517571884984026,0.681704260651629,3130,2040,3130,0.6517571884984026
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.7505567928730512,0.599644128113879,0.6666666666666666,1124,674,1124,0.599644128113879
aeon,MiniRocketClassifier,real_plus_synthetic_to_real__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.6951623591782637,0.6028735632183908,0.6457371498922746,1740,1049,1740,0.6028735632183908
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.0,0.0,0.0,865,0,865,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.30344827586206896,0.4624624624624625,0.36644854253420583,666,308,666,0.4624624624624625
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.46153846153846156,0.013157894736842105,0.0255863539445629,456,6,456,0.013157894736842105
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.0,0.0,0.0,685,0,685,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.4166666666666667,0.00370919881305638,0.007352941176470588,1348,5,1348,0.00370919881305638
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.3130106851037084,0.9715177526336325,0.4734740444951512,2563,2490,2563,0.9715177526336325
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.0,0.0,0.0,829,0,829,0.0
aeon,MiniRocketClassifier,real_to_3synthetic__prior_v1,prior_v1,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.25,0.0006297229219143577,0.001256281407035176,1588,1,1588,0.0006297229219143577
