framework,model,experiment,native_modality,native_hz,channels,branches,description,input_shape_train_native_by_branch_N_T_C,input_shape_test_native_by_branch_N_T_C,input_shape_train_framework,input_shape_test_framework,epochs,best_epoch_by_val_macro_f1,best_val_macro_f1,best_val_accuracy,saved_best_model_file,training_history_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,weight_decay,dropout,patience,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30762, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,13,0.7216128336081769,0.6952459016393443,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_acc.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.5409917519626354,0.6160118787960036,0.5839385450956389,0.5868131349541572,0.5735688465879917,0.5409917519626354,0.5438413348846414,0.5839385450956389
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30762, 256, 3]}","{""acc"": [30000, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,13,0.7216128336081769,0.6952459016393443,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_acc.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.7228,0.8648061098906328,0.729211604495877,0.7587322624014011,0.7882063388320009,0.7228,0.7069611735997505,0.729211604495877
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30000, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,20,0.7402493277483924,0.7019672131147541,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_acc.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_synthetic_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.6469243764285004,0.6904341881764499,0.723544424088554,0.6912413359089985,0.6706573068539011,0.6469243764285004,0.639871195632097,0.723544424088554
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [60762, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,12,0.7633671949787382,0.7201639344262295,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_acc.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_real_plus_synthetic_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.6272483354864354,0.6829735224539807,0.6999681146671904,0.6833020194980843,0.6477736623410429,0.6272483354864354,0.628790317651342,0.6999681146671904
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30762, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,34,0.4333193165206794,0.4759016393442623,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.4036569611447878,0.4060507042852692,0.399844554374133,0.3921095824960962,0.3968352510561956,0.4036569611447878,0.3924254539499593,0.399844554374133
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30762, 512, 1]}","{""bvp"": [30000, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,34,0.43331931652067945,0.4759016393442623,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_bvp.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.7787333333333334,0.8097626411036083,0.776015167630816,0.7792514949147529,0.8030589955898079,0.7787333333333334,0.7785872534028822,0.776015167630816
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30000, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,18,0.42711842080703194,0.44688524590163936,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_synthetic_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.37642850044718273,0.37112082632569227,0.39914799013654256,0.3698750483098172,0.38323096787963423,0.37642850044718273,0.3668065911104843,0.39914799013654256
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [60762, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,7,0.41750384480142166,0.45524590163934425,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_real_plus_synthetic_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.3975951505515254,0.4078949689198387,0.39867910466129064,0.3897608378860614,0.3996211533142397,0.3975951505515254,0.38820129460495933,0.39867910466129064
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [30762, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,2,0.3185872506528666,0.3442622950819672,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_eda.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.2165358243068667,0.1794762151857573,0.2887700023496357,0.1764258625560446,0.1674316879836826,0.2165358243068667,0.1482110970772527,0.2887700023496357
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,eda,EDA only,"{""eda"": [30762, 32, 1]}","{""eda"": [30000, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,2,0.31858725065286664,0.3442622950819672,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_eda.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.2637333333333333,0.2969738500361432,0.32790006615744954,0.2639012927561769,0.307972246075668,0.2637333333333333,0.23599233484872578,0.32790006615744954
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [30000, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,78,0.3938461137339425,0.4395081967213115,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_eda.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_synthetic_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.25300606181059326,0.265527896252748,0.2894154245172325,0.22031143113299556,0.3288589105234906,0.25300606181059326,0.23257196877253278,0.2894154245172325
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [60762, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,77,0.38566863635048654,0.43655737704918035,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_eda.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/kovae/posterior_bank_v2/cnnbilstm_real_plus_synthetic_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.28669382887806816,0.2970571551742915,0.3279423277366102,0.2569997852974334,0.34446382933233444,0.28669382887806816,0.2588245635501923,0.3279423277366102
