framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.2885525070955534,0.3385127635960044,0.3115423901940756,901,305,901,0.3385127635960044
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7220670391061452,0.8141732283464567,0.765358993338268,635,517,635,0.8141732283464567
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.4759615384615384,0.668918918918919,0.5561797752808989,444,297,444,0.668918918918919
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.986425339366516,0.9383070301291248,0.961764705882353,697,654,697,0.9383070301291248
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.8219354838709677,0.4673514306676449,0.5958840037418148,1363,637,1363,0.4673514306676449
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4598957039980134,0.588496981251986,0.5163088932255366,3147,1852,3147,0.588496981251986
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7483617300131061,0.5062056737588653,0.6039132734003173,1128,571,1128,0.5062056737588653
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.4248956884561891,0.3495423340961098,0.3835530445699937,1748,611,1748,0.3495423340961098
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",1,0.8312611012433393,0.47577092511013214,0.6051724137931035,2951,1404,2951,0.47577092511013214
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",2,0.9082013047530288,0.924573055028463,0.9163140573577809,2108,1949,2108,0.924573055028463
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",3,0.9750603378921963,0.83991683991684,0.9024571854058079,1443,1212,1443,0.83991683991684
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",4,1.0,0.9024500907441017,0.9487240639160506,2204,1989,2204,0.9024500907441017
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",5,0.9299743808710503,0.2475,0.39095315024232635,4400,1089,4400,0.2475
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",6,0.5581872946330778,0.9289131920710868,0.6973402890618319,8778,8154,8778,0.9289131920710868
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",7,0.9699186991869919,0.8585822238215185,0.9108608513075014,2779,2386,2779,0.8585822238215185
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",8,0.7458457605453771,0.6559865092748736,0.698036088126807,5337,3501,5337,0.6559865092748736
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.4222811671087533,0.8834628190899001,0.5714285714285714,901,796,901,0.8834628190899001
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7275693311582382,0.7023622047244095,0.7147435897435898,635,446,635,0.7023622047244095
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.6909871244635193,0.7252252252252253,0.7076923076923077,444,322,444,0.7252252252252253
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.9292168674698795,0.8852223816355811,0.9066862601028656,697,617,697,0.8852223816355811
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.7457520453115167,0.8694057226705796,0.8028455284552846,1363,1185,1363,0.8694057226705796
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.6453488372093024,0.38798856053384173,0.4846199642786267,3147,1221,3147,0.38798856053384173
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7690721649484537,0.6613475177304965,0.7111534795042898,1128,746,1128,0.6613475177304965
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.5932459677419355,0.6733409610983981,0.6307609860664523,1748,1177,1748,0.6733409610983981
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.33962264150943394,0.5793562708102109,0.42821985233798193,901,522,901,0.5793562708102109
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.8285714285714286,0.7763779527559055,0.8016260162601626,635,493,635,0.7763779527559055
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.5971978984238179,0.7680180180180181,0.6719211822660098,444,341,444,0.7680180180180181
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.9873217115689382,0.8938307030129125,0.9382530120481928,697,623,697,0.8938307030129125
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.804858934169279,0.7534849596478357,0.7783251231527094,1363,1027,1363,0.7534849596478357
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.5612019443216969,0.40355894502700984,0.46950092421441775,3147,1270,3147,0.40355894502700984
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7760074976569822,0.7340425531914894,0.7544419134396355,1128,828,1128,0.7340425531914894
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.5690061234102685,0.6910755148741419,0.6241281322655644,1748,1208,1748,0.6910755148741419
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,1,0.5776201733648542,0.8135405105438401,0.6755760368663595,901,733,901,0.8135405105438401
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,2,0.411697247706422,0.5653543307086614,0.4764432647644326,635,359,635,0.5653543307086614
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,3,0.2516778523489933,0.1689189189189189,0.2021563342318059,444,75,444,0.1689189189189189
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,4,0.542528735632184,0.3385939741750359,0.4169611307420495,697,236,697,0.3385939741750359
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,5,0.3083798882681564,0.202494497432135,0.2444641275465013,1363,276,1363,0.202494497432135
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,6,0.4051819184123484,0.4671115347950429,0.4339483394833948,3147,1470,3147,0.4671115347950429
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,7,0.4631197097944377,0.3395390070921986,0.3918158567774936,1128,383,1128,0.3395390070921986
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,8,0.288200108754758,0.3032036613272311,0.2955115695567326,1748,530,1748,0.3032036613272311
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,1,0.9495432796868204,0.7397492375465944,0.8316190476190476,2951,2183,2951,0.7397492375465944
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,2,0.6317817014446228,0.9335863377609108,0.7535898908673176,2108,1968,2108,0.9335863377609108
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,3,0.938872970391595,0.6812196812196812,0.7895582329317269,1443,983,1443,0.6812196812196812
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,4,0.729938900203666,0.8130671506352087,0.7692637905129857,2204,1792,2204,0.8130671506352087
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,5,0.8706315144083384,0.6454545454545455,0.7413208039676324,4400,2840,4400,0.6454545454545455
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,6,0.7186823529411764,0.8699020277967646,0.7870947791578622,8778,7636,8778,0.8699020277967646
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,7,0.7390761548064919,0.8521050737675423,0.7915761323750626,2779,2368,2779,0.8521050737675423
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,8,0.8995742549461557,0.6730372868652801,0.769989281886388,5337,3592,5337,0.6730372868652801
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,1,0.4400694846554719,0.8435072142064373,0.578386605783866,901,760,901,0.8435072142064373
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,2,0.3574144486692015,0.4440944881889764,0.3960674157303371,635,282,635,0.4440944881889764
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,3,0.19463087248322147,0.26126126126126126,0.2230769230769231,444,116,444,0.26126126126126126
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,4,0.5,0.27403156384505023,0.3540315106580167,697,191,697,0.27403156384505023
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,5,0.30064308681672025,0.2743947175348496,0.2869198312236287,1363,374,1363,0.2743947175348496
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,6,0.42257462686567165,0.28789323164918973,0.34246834246834246,3147,906,3147,0.28789323164918973
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,7,0.41757246376811596,0.40868794326241137,0.41308243727598565,1128,461,1128,0.40868794326241137
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,8,0.3360616273471353,0.39931350114416475,0.3649673202614379,1748,698,1748,0.39931350114416475
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,1,0.5234943745863666,0.8779134295227525,0.6558872305140961,901,791,901,0.8779134295227525
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,2,0.5155925155925156,0.3905511811023622,0.4444444444444444,635,248,635,0.3905511811023622
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,3,0.24012158054711247,0.17792792792792791,0.20439844760672704,444,79,444,0.17792792792792791
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,4,0.5128205128205128,0.28694404591104733,0.36798528058877644,697,200,697,0.28694404591104733
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,5,0.28939157566302653,0.2721936903888481,0.28052930056710773,1363,371,1363,0.2721936903888481
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,6,0.4111578142911731,0.3419129329520178,0.37335183900069396,3147,1076,3147,0.3419129329520178
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,7,0.446875,0.3803191489361702,0.4109195402298851,1128,429,1128,0.3803191489361702
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,8,0.3237063778580024,0.46167048054919907,0.3805706201367602,1748,807,1748,0.46167048054919907
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,1,0.2558932121556376,1.0,0.4075079149706015,901,901,901,1.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,2,0.466321243523316,0.2834645669291338,0.3525954946131244,635,180,635,0.2834645669291338
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,3,0.0,0.0,0.0,444,0,444,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,4,0.1389891696750902,0.6628407460545194,0.2297935836856503,697,462,697,0.6628407460545194
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,5,0.1192660550458715,0.0381511371973587,0.0578098943857698,1363,52,1363,0.0381511371973587
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,6,0.0734966592427616,0.0104861773117254,0.0183537263626251,3147,33,3147,0.0104861773117254
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,7,0.0,0.0,0.0,1128,0,1128,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,8,0.3818433818433818,0.3152173913043478,0.345346286430586,1748,551,1748,0.3152173913043478
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,1,0.7788336933045357,0.610979329041003,0.6847702240789973,2951,1803,2951,0.610979329041003
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,2,0.22117202268431002,0.16650853889943074,0.18998646820027063,2108,351,2108,0.16650853889943074
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,3,0.2989260143198091,0.3471933471933472,0.32125681308111576,1443,501,1443,0.3471933471933472
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,4,0.13844707923655292,0.8688747731397459,0.23883761536542777,2204,1915,2204,0.8688747731397459
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,5,0.3223201174743025,0.19954545454545455,0.24649073554183043,4400,878,4400,0.19954545454545455
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,6,0.299860529986053,0.048986101617680564,0.08421464943204074,8778,430,8778,0.048986101617680564
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,7,0.0,0.0,0.0,2779,0,2779,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,8,0.3162313432835821,0.3811129848229342,0.34565383634973235,5337,2034,5337,0.3811129848229342
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,1,0.24084469393210373,1.0,0.38819474364498063,901,901,901,1.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,2,0.1912751677852349,0.08976377952755905,0.12218649517684887,635,57,635,0.08976377952755905
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,3,0.09633418584825235,0.2545045045045045,0.13976499690785404,444,113,444,0.2545045045045045
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,4,0.10686015831134564,0.23242467718794835,0.1464075915047447,697,162,697,0.23242467718794835
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,5,0.2812903225806452,0.15994130594277328,0.2039289055191768,1363,218,1363,0.15994130594277328
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,6,0.3959007551240561,0.11661900222434064,0.180166912125675,3147,367,3147,0.11661900222434064
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,7,0.31385281385281383,0.12854609929078015,0.18238993710691823,1128,145,1128,0.12854609929078015
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,8,0.49786507258753204,0.33352402745995424,0.39945186707776636,1748,583,1748,0.33352402745995424
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,1,0.24684931506849314,1.0,0.3959569325422984,901,901,901,1.0
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,2,0.4057142857142857,0.22362204724409449,0.2883248730964467,635,142,635,0.22362204724409449
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,3,0.08111888111888112,0.26126126126126126,0.12379935965848453,444,116,444,0.26126126126126126
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,4,0.2411504424778761,0.3127690100430416,0.2723297938788257,697,218,697,0.3127690100430416
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,5,0.2222222222222222,0.10711665443873808,0.14455445544554454,1363,146,1363,0.10711665443873808
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,6,0.4145534729878721,0.11947886876390212,0.18549580661075482,3147,376,3147,0.11947886876390212
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,7,0.2616822429906542,0.09929078014184398,0.14395886889460155,1128,112,1128,0.09929078014184398
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,8,0.5031663788140472,0.5,0.5015781922525108,1748,874,1748,0.5
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,2,0.2321608040201005,0.3637795275590551,0.2834355828220858,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,3,0.1368715083798882,0.6621621621621622,0.2268518518518518,444,294,444,0.6621621621621622
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,4,0.0918727915194346,0.1865136298421807,0.1231060606060606,697,130,697,0.1865136298421807
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,5,0.0,0.0,0.0,1363,0,1363,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,6,0.4875717017208413,0.2430886558627264,0.3244274809160305,3147,765,3147,0.2430886558627264
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,7,0.35,0.3971631205673759,0.3720930232558139,1128,448,1128,0.3971631205673759
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,8,0.0,0.0,0.0,1748,0,1748,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,1,0.31816527120495086,0.59234157912572,0.4139727649496744,2951,1748,2951,0.59234157912572
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,2,0.41391509433962265,0.16650853889943074,0.2374830852503383,2108,351,2108,0.16650853889943074
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,3,0.6724738675958188,0.2674982674982675,0.38274665344571146,1443,386,1443,0.2674982674982675
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,4,0.1679936305732484,0.2872050816696915,0.21198928332217012,2204,633,2204,0.2872050816696915
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,5,0.31042128603104213,0.031818181818181815,0.05772005772005772,4400,140,4400,0.031818181818181815
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,6,0.49808839272059946,0.3710412394622921,0.4252791016517595,8778,3257,8778,0.3710412394622921
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,7,0.16074291822554784,0.43288952860741275,0.2344343759134756,2779,1203,2779,0.43288952860741275
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,8,0.29120198265179675,0.2641933670601461,0.2770409666961391,5337,1410,5337,0.2641933670601461
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,2,0.12479740680713128,0.3637795275590551,0.18584070796460178,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,3,0.1357927786499215,0.7792792792792793,0.23128342245989306,444,346,444,0.7792792792792793
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,4,0.0,0.0,0.0,697,0,697,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,5,0.15428571428571428,0.05942773294203962,0.0858050847457627,1363,81,1363,0.05942773294203962
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,6,0.48333333333333334,0.18430251032729583,0.2668507016333103,3147,580,3147,0.18430251032729583
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,7,0.22826086956521738,0.39095744680851063,0.28823529411764703,1128,441,1128,0.39095744680851063
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,8,0.0,0.0,0.0,1748,0,1748,0.0
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,2,0.14817190506735087,0.3637795275590551,0.2105742935278031,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,3,0.1365491651205937,0.8288288288288288,0.23446957629818413,444,368,444,0.8288288288288288
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,4,0.0,0.0,0.0,697,0,697,0.0
