framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.2885525070955534,0.3385127635960044,0.3115423901940756,901,305,901,0.3385127635960044
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7220670391061452,0.8141732283464567,0.765358993338268,635,517,635,0.8141732283464567
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.4759615384615384,0.668918918918919,0.5561797752808989,444,297,444,0.668918918918919
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.986425339366516,0.9383070301291248,0.961764705882353,697,654,697,0.9383070301291248
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.8219354838709677,0.4673514306676449,0.5958840037418148,1363,637,1363,0.4673514306676449
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4598957039980134,0.588496981251986,0.5163088932255366,3147,1852,3147,0.588496981251986
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7483617300131061,0.5062056737588653,0.6039132734003173,1128,571,1128,0.5062056737588653
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.4248956884561891,0.3495423340961098,0.3835530445699937,1748,611,1748,0.3495423340961098
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",1,0.21739130434782608,0.006894174422612892,0.013364517206815904,2901,20,2901,0.006894174422612892
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",2,0.6235294117647059,0.024801123069723912,0.04770477047704771,2137,53,2137,0.024801123069723912
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",3,0.6292134831460674,0.039243167484232656,0.07387862796833773,1427,56,1427,0.039243167484232656
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",4,0.0,0.0,0.0,2268,0,2268,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",5,0.34705882352941175,0.013237603769351581,0.025502485411713852,4457,59,4457,0.013237603769351581
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",6,0.30978892513028156,0.9622685454757192,0.468689733408962,8587,8263,8587,0.9622685454757192
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",7,0.4797297297297297,0.04958100558659218,0.08987341772151898,2864,142,2864,0.04958100558659218
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",8,0.38882466281310213,0.1882813957827953,0.2537088257480513,5359,1009,5359,0.1882813957827953
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.21550324675324675,0.5893451720310766,0.31560178306092124,901,531,901,0.5893451720310766
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.2875816993464052,0.13858267716535433,0.18703506907545164,635,88,635,0.13858267716535433
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.1814814814814815,0.22072072072072071,0.1991869918699187,444,98,444,0.22072072072072071
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.14405204460966542,0.2223816355810617,0.1748448956570784,697,155,697,0.2223816355810617
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.5319148936170213,0.25678650036683787,0.3463631865413162,1363,350,1363,0.25678650036683787
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4398148148148148,0.1811248808388942,0.2565833896016205,3147,570,3147,0.1811248808388942
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.35855263157894735,0.7730496453900709,0.4898876404494382,1128,872,1128,0.7730496453900709
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.407436096049574,0.3009153318077803,0.34616650213886146,1748,526,1748,0.3009153318077803
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.28476331360946744,0.42730299667036625,0.3417665335108744,901,385,901,0.42730299667036625
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.7960122699386503,0.8173228346456692,0.8065268065268065,635,519,635,0.8173228346456692
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.5044776119402985,0.7612612612612613,0.6068222621184919,444,338,444,0.7612612612612613
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.9805970149253731,0.9426111908177905,0.9612289685442575,697,657,697,0.9426111908177905
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.7748878923766817,0.6338958180484225,0.6973365617433414,1363,864,1363,0.6338958180484225
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4933730947647449,0.473149030823006,0.4830494728304947,3147,1489,3147,0.473149030823006
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7797101449275362,0.7154255319148937,0.7461858529819695,1128,807,1128,0.7154255319148937
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.49194068343004516,0.4364988558352403,0.4625644134586238,1748,763,1748,0.4364988558352403
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,1,0.5776201733648542,0.8135405105438401,0.6755760368663595,901,733,901,0.8135405105438401
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,2,0.411697247706422,0.5653543307086614,0.4764432647644326,635,359,635,0.5653543307086614
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,3,0.2516778523489933,0.1689189189189189,0.2021563342318059,444,75,444,0.1689189189189189
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,4,0.542528735632184,0.3385939741750359,0.4169611307420495,697,236,697,0.3385939741750359
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,5,0.3083798882681564,0.202494497432135,0.2444641275465013,1363,276,1363,0.202494497432135
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,6,0.4051819184123484,0.4671115347950429,0.4339483394833948,3147,1470,3147,0.4671115347950429
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,7,0.4631197097944377,0.3395390070921986,0.3918158567774936,1128,383,1128,0.3395390070921986
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,8,0.288200108754758,0.3032036613272311,0.2955115695567326,1748,530,1748,0.3032036613272311
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,1,0.1935483870967742,0.002068252326783868,0.004092769440654843,2901,6,2901,0.002068252326783868
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,2,0.13545521835677277,0.171268132896584,0.15127092374457532,2137,366,2137,0.171268132896584
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,3,0.08280254777070063,0.036440084092501754,0.05060827250608273,1427,52,1427,0.036440084092501754
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,4,0.13426708524510989,0.24514991181657847,0.17350600717740677,2268,556,2268,0.24514991181657847
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,5,0.1769154883262085,0.12070899708323984,0.1435049346492398,4457,538,4457,0.12070899708323984
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,6,0.3108883826879271,0.3973448235705136,0.3488395869542992,8587,3412,8587,0.3973448235705136
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,7,0.11819216387579255,0.253840782122905,0.1612867443150305,2864,727,2864,0.253840782122905
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,8,0.22994422994422994,0.10001866019779809,0.13940182054616385,5359,536,5359,0.10001866019779809
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,1,0.04090623033354311,0.14428412874583796,0.06374111301789655,901,130,901,0.14428412874583796
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,2,0.13169642857142858,0.3716535433070866,0.19447878038730942,635,236,635,0.3716535433070866
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,3,0.0,0.0,0.0,444,0,444,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,4,0.10325476992143659,0.13199426111908177,0.11586901763224182,697,92,697,0.13199426111908177
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,5,0.1918819188191882,0.03815113719735877,0.06364749082007344,1363,52,1363,0.03815113719735877
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,6,0.3153904473085671,0.13218938671750874,0.18629646215853113,3147,416,3147,0.13218938671750874
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,7,0.2892030848329049,0.19946808510638298,0.236096537250787,1128,225,1128,0.19946808510638298
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,8,0.22980349344978165,0.2408466819221968,0.23519553072625698,1748,421,1748,0.2408466819221968
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,1,0.5179621162638798,0.8801331853496115,0.6521381578947368,901,793,901,0.8801331853496115
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,2,0.3923524522028263,0.7433070866141732,0.5136017410228509,635,472,635,0.7433070866141732
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,3,0.1625441696113074,0.3108108108108108,0.21345707656612528,444,138,444,0.3108108108108108
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,4,0.5357142857142857,0.2797704447632712,0.36757775683317623,697,195,697,0.2797704447632712
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,5,0.287109375,0.4314013206162876,0.3447669305189094,1363,588,1363,0.4314013206162876
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,6,0.4124268347591175,0.29107086113759134,0.3412816691505216,3147,916,3147,0.29107086113759134
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,7,0.5372907153729072,0.3129432624113475,0.39551820728291315,1128,353,1128,0.3129432624113475
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,8,0.35714285714285715,0.2431350114416476,0.2893124574540504,1748,425,1748,0.2431350114416476
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,1,0.2558932121556376,1.0,0.4075079149706015,901,901,901,1.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,2,0.466321243523316,0.2834645669291338,0.3525954946131244,635,180,635,0.2834645669291338
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,3,0.0,0.0,0.0,444,0,444,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,4,0.1389891696750902,0.6628407460545194,0.2297935836856503,697,462,697,0.6628407460545194
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,5,0.1192660550458715,0.0381511371973587,0.0578098943857698,1363,52,1363,0.0381511371973587
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,6,0.0734966592427616,0.0104861773117254,0.0183537263626251,3147,33,3147,0.0104861773117254
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,7,0.0,0.0,0.0,1128,0,1128,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,8,0.3818433818433818,0.3152173913043478,0.345346286430586,1748,551,1748,0.3152173913043478
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,1,0.30017452006980805,0.05928990003447087,0.09902130109383996,2901,172,2901,0.05928990003447087
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,2,0.10177514792899409,0.040243331773514274,0.05767940979208585,2137,86,2137,0.040243331773514274
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,3,0.32808398950131235,0.08759635599159075,0.13827433628318583,1427,125,1427,0.08759635599159075
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,4,0.086489252814739,0.6706349206349206,0.15321849501359927,2268,1521,2268,0.6706349206349206
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,5,0.30512631837135146,0.27911150998429435,0.2915397234591048,4457,1244,4457,0.27911150998429435
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,6,0.16356673960612692,0.03482007686037033,0.05741718674987998,8587,299,8587,0.03482007686037033
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,7,0.0,0.0,0.0,2864,0,2864,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,8,0.20360934182590235,0.17895129688374697,0.19048564902174991,5359,959,5359,0.17895129688374697
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,1,0.22920376494530653,1.0,0.37293046357615894,901,901,901,1.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,2,0.0,0.0,0.0,635,0,635,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,3,0.08201892744479496,0.2927927927927928,0.12814194184327254,444,130,444,0.2927927927927928
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,4,0.25864453665283543,0.5365853658536586,0.34904339710685955,697,374,697,0.5365853658536586
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,5,0.09455958549222798,0.05355832721936904,0.06838407494145199,1363,73,1363,0.05355832721936904
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,6,0.35161290322580646,0.06927232284715602,0.1157419697371914,3147,218,3147,0.06927232284715602
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,7,0.10256410256410256,0.02127659574468085,0.03524229074889868,1128,24,1128,0.02127659574468085
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,8,0.4745762711864407,0.40045766590389015,0.43437790878063914,1748,700,1748,0.40045766590389015
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,1,0.20426829268292682,0.6692563817980022,0.31300285491824553,901,603,901,0.6692563817980022
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,2,0.19014084507042253,0.3401574803149606,0.24392998306041785,635,216,635,0.3401574803149606
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,3,0.08241082410824108,0.15090090090090091,0.10660302307080351,444,67,444,0.15090090090090091
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,4,0.27015558698727016,0.27403156384505023,0.2720797720797721,697,191,697,0.27403156384505023
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,5,0.19811320754716982,0.07703595011005136,0.1109350237717908,1363,105,1363,0.07703595011005136
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,6,0.32882882882882886,0.09278678106132825,0.14473358116480792,3147,292,3147,0.09278678106132825
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,7,0.1996779388083736,0.1099290780141844,0.14179531160663236,1128,124,1128,0.1099290780141844
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,8,0.402317880794702,0.5560640732265446,0.4668587896253602,1748,972,1748,0.5560640732265446
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,2,0.2321608040201005,0.3637795275590551,0.2834355828220858,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,3,0.1368715083798882,0.6621621621621622,0.2268518518518518,444,294,444,0.6621621621621622
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,4,0.0918727915194346,0.1865136298421807,0.1231060606060606,697,130,697,0.1865136298421807
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,5,0.0,0.0,0.0,1363,0,1363,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,6,0.4875717017208413,0.2430886558627264,0.3244274809160305,3147,765,3147,0.2430886558627264
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,7,0.35,0.3971631205673759,0.3720930232558139,1128,448,1128,0.3971631205673759
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,8,0.0,0.0,0.0,1748,0,1748,0.0
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,1,0.17219948461421858,0.39158910720441226,0.2392082543693409,2901,1136,2901,0.39158910720441226
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,2,0.30714285714285716,0.040243331773514274,0.07116259826230864,2137,86,2137,0.040243331773514274
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,3,0.7755102040816326,0.026629292221443588,0.051490514905149054,1427,38,1427,0.026629292221443588
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,4,0.10652591170825336,0.14682539682539683,0.12347052280311457,2268,333,2268,0.14682539682539683
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,5,0.30434782608695654,0.004711689477226834,0.009279717189571365,4457,21,4457,0.004711689477226834
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,6,0.4577623590633131,0.307325026202399,0.3677536231884058,8587,2639,8587,0.307325026202399
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,7,0.13107609788803218,0.5460893854748603,0.21140848878075155,2864,1564,2864,0.5460893854748603
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,8,0.270852428964253,0.11028176898675127,0.15674313751491845,5359,591,5359,0.11028176898675127
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,1,0.12551319648093842,0.23751387347391786,0.1642363775901765,901,214,901,0.23751387347391786
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,2,0.2073608617594255,0.3637795275590551,0.2641509433962264,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,3,0.1266085512660855,0.6869369369369369,0.2138100245355766,444,305,444,0.6869369369369369
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,4,0.0,0.0,0.0,697,0,697,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,5,0.0,0.0,0.0,1363,0,1363,0.0
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,6,0.5835062240663901,0.7149666348903718,0.6425817506782807,3147,2250,3147,0.7149666348903718
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,7,0.2849846782431052,0.2473404255319149,0.26483151400094923,1128,279,1128,0.2473404255319149
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,8,0.0,0.0,0.0,1748,0,1748,0.0
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,2,0.2227579556412729,0.3637795275590551,0.27631578947368424,635,231,635,0.3637795275590551
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,3,0.12239800166527894,0.6621621621621622,0.20660576247364723,444,294,444,0.6621621621621622
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,4,0.07840909090909091,0.19799139167862267,0.11233211233211234,697,138,697,0.19799139167862267
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,5,0.1597444089456869,0.036683785766691124,0.059665871121718374,1363,50,1363,0.036683785766691124
