framework,model,experiment,native_modality,native_hz,channels,branches,description,input_shape_train_native_by_branch_N_T_C,input_shape_test_native_by_branch_N_T_C,input_shape_train_framework,input_shape_test_framework,epochs,best_epoch_by_val_macro_f1,best_val_macro_f1,best_val_accuracy,saved_best_model_file,training_history_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,weight_decay,dropout,patience,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
cnnbilstm,NativeCNNBiLSTM,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30762, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,13,0.7216128336081769,0.6952459016393443,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_acc.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.5409917519626354,0.6160118787960036,0.5839385450956389,0.5868131349541572,0.5735688465879917,0.5409917519626354,0.5438413348846414,0.5839385450956389
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30762, 256, 3]}","{""acc"": [30000, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,13,0.7216128336081769,0.6952459016393443,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_acc.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.32006666666666667,0.3744420425576406,0.16053837694887846,0.12159029724280593,0.35085593859431113,0.32006666666666667,0.20004889149460814,0.16053837694887846
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [30000, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,2,0.3798976141209414,0.39819672131147543,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_acc.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_synthetic_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.3170028818443804,0.32079211353139453,0.33536332048772455,0.2894586822993258,0.3759820872322655,0.3170028818443804,0.3031584663183781,0.33536332048772455
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",acc,ACC only,"{""acc"": [60762, 256, 3]}","{""acc"": [10063, 256, 3]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,23,0.7198788166929573,0.6886885245901639,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_acc.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_real_plus_synthetic_to_real_acc_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.5785551028520322,0.6382202532390997,0.6509334400020812,0.6381851089643575,0.5980071947456723,0.5785551028520322,0.5843554114912903,0.6509334400020812
cnnbilstm,NativeCNNBiLSTM,real_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30762, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,34,0.4333193165206794,0.4759016393442623,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.4036569611447878,0.4060507042852692,0.399844554374133,0.3921095824960962,0.3968352510561956,0.4036569611447878,0.3924254539499593,0.399844554374133
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30762, 512, 1]}","{""bvp"": [30000, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,34,0.43331931652067945,0.4759016393442623,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_bvp.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.20643333333333333,0.17275168791293943,0.1658549555133631,0.1465638824166816,0.2100837672274468,0.20643333333333333,0.18816451120891345,0.1658549555133631
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [30000, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,72,0.1726810041816001,0.19885245901639345,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_synthetic_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.1562158402066978,0.16276704665460628,0.1573234030144317,0.13691561649913703,0.21608254989376627,0.1562158402066978,0.16020576883571316,0.1573234030144317
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,bvp,64,BVP,bvp,BVP only,"{""bvp"": [60762, 512, 1]}","{""bvp"": [10063, 512, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,7,0.3943040600676446,0.4127868852459016,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_bvp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_real_plus_synthetic_to_real_bvp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.38557090330915234,0.40031785075839765,0.4365714978930926,0.38970674959041046,0.40554279148277095,0.38557090330915234,0.3736940948901444,0.4365714978930926
cnnbilstm,NativeCNNBiLSTM,real_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [30762, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,2,0.3185872506528666,0.3442622950819672,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_eda.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.2165358243068667,0.1794762151857573,0.2887700023496357,0.1764258625560446,0.1674316879836826,0.2165358243068667,0.1482110970772527,0.2887700023496357
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,eda,4,EDA,eda,EDA only,"{""eda"": [30762, 32, 1]}","{""eda"": [30000, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,2,0.31858725065286664,0.3442622950819672,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_eda.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.14686666666666667,0.18610316376477928,0.1688309240203635,0.1234545126766807,0.18694237696909702,0.14686666666666667,0.1256195080317291,0.1688309240203635
