framework,model,model_family,experiment,synthetic_method,synthetic_method_display_name,modality,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,1,0.4222011385199241,0.5514250309789344,0.4782375067168189,807,445,807,0.5514250309789344
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,2,0.7868383404864091,0.8661417322834646,0.8245877061469266,635,550,635,0.8661417322834646
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,3,0.8495821727019499,0.6869369369369369,0.7596513075965131,444,305,444,0.6869369369369369
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,4,1.0,0.9741750358680057,0.9869186046511628,697,679,697,0.9741750358680057
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,5,0.9379084967320261,0.8422597212032281,0.8875144955546965,1363,1148,1363,0.8422597212032281
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,6,0.6108029197080292,0.6664542848040778,0.6374162096282754,3139,2092,3139,0.6664542848040778
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,7,0.8138364779874214,0.5735815602836879,0.6729069162766511,1128,647,1128,0.5735815602836879
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,8,0.57109692396982,0.5638968481375358,0.5674740484429066,1745,984,1745,0.5638968481375358
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,1,0.0,0.0,0.0,898,0,898,0.0
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,2,0.9,0.015280135823429542,0.03005008347245409,589,9,589,0.015280135823429542
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,3,0.0,0.0,0.0,417,0,417,0.0
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,4,0.0,0.0,0.0,677,0,677,0.0
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,5,0.05952380952380952,0.003479471120389701,0.006574621959237344,1437,5,1437,0.003479471120389701
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,6,0.2795297841076071,0.9939710610932476,0.43634759594177325,2488,2473,2488,0.9939710610932476
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,7,0.0,0.0,0.0,862,0,862,0.0
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,8,0.1568627450980392,0.004901960784313725,0.009506833036244802,1632,8,1632,0.004901960784313725
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,1,0.16993118051879302,0.7955390334572491,0.2800436205016358,807,642,807,0.7955390334572491
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,2,0.5216216216216216,0.30393700787401573,0.38407960199004976,635,193,635,0.30393700787401573
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,3,0.09626274065685164,0.7657657657657657,0.1710261569416499,444,340,444,0.7657657657657657
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,4,0.5219941348973607,0.7661406025824964,0.6209302325581395,697,534,697,0.7661406025824964
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,5,0.3223684210526316,0.0719002201027146,0.11757648470305938,1363,98,1363,0.0719002201027146
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,6,0.26506024096385544,0.021025804396304557,0.03896103896103896,3139,66,3139,0.021025804396304557
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,7,0.56,0.3475177304964539,0.4288840262582057,1128,392,1128,0.3475177304964539
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,8,1.0,0.001146131805157593,0.0022896393817973667,1745,2,1745,0.001146131805157593
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,1,0.4040948275862069,0.4646840148698885,0.4322766570605187,807,375,807,0.4646840148698885
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,2,0.8058823529411765,0.862992125984252,0.8334600760456273,635,548,635,0.862992125984252
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,3,0.8516320474777448,0.6463963963963963,0.734955185659411,444,287,444,0.6463963963963963
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,4,1.0,0.9411764705882353,0.9696969696969697,697,656,697,0.9411764705882353
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,5,0.9022900763358779,0.8672046955245781,0.8843995510662177,1363,1182,1363,0.8672046955245781
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,6,0.6223796870386773,0.6715514495062122,0.6460312595770763,3139,2108,3139,0.6715514495062122
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,7,0.7950530035335689,0.598404255319149,0.6828528072837633,1128,675,1128,0.598404255319149
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,8,0.6327995582551077,0.6567335243553009,0.6445444319460067,1745,1146,1745,0.6567335243553009
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,1,0.9297124600638977,0.3419506462984724,0.5,851,291,851,0.3419506462984724
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,2,0.8880706921944035,0.9663461538461539,0.9255564082885649,624,603,624,0.9663461538461539
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,3,0.947075208913649,0.8095238095238095,0.8729139922978177,420,340,420,0.8095238095238095
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,4,1.0,0.7455621301775148,0.8542372881355932,676,504,676,0.7455621301775148
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,5,0.8312428734321551,0.5560640732265446,0.6663619744058501,1311,729,1311,0.5560640732265446
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,6,0.5023094688221709,0.9688195991091314,0.6615969581749049,2694,2610,2694,0.9688195991091314
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,7,0.9748010610079576,0.8516801853997682,0.9090909090909091,863,735,863,0.8516801853997682
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,8,0.7515723270440252,0.15310698270339526,0.2543906333155934,1561,239,1561,0.15310698270339526
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,1,0.3678646934460888,0.4312267657992565,0.3970336565887051,807,348,807,0.4312267657992565
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,2,0.7397078353253652,0.8771653543307086,0.8025936599423631,635,557,635,0.8771653543307086
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,3,0.7516629711751663,0.7635135135135135,0.7575418994413408,444,339,444,0.7635135135135135
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,4,0.9075520833333334,1.0,0.9515358361774744,697,697,697,1.0
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,5,0.8090849242922976,0.9016874541452677,0.8528799444829979,1363,1229,1363,0.9016874541452677
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,6,0.5888821014050092,0.6142083466071997,0.6012786527366287,3139,1928,3139,0.6142083466071997
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,7,0.7774798927613941,0.5141843971631206,0.6189967982924226,1128,580,1128,0.5141843971631206
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,8,0.5602931379080613,0.4819484240687679,0.5181762168823167,1745,841,1745,0.4819484240687679
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,1,0.453,0.5613382899628253,0.5013835085777532,807,453,807,0.5613382899628253
