framework,model,model_family,experiment,synthetic_method,synthetic_method_display_name,modality,native_hz,channels,description,train_windows_original_before_aeon_filter,train_windows_dropped_by_aeon_filter,train_windows,test_windows_original_before_aeon_filter,test_windows_dropped_by_aeon_filter,test_windows,used_pretrained_real_model,saved_model_file,pretrained_results_dir,aeon_n_kernels,aeon_n_jobs,aeon_low_variation_strategy,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30762,,,10063,105,9958,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.6878891343643302,0.7490333087631975,0.7156088938119839,0.7268383493767439,0.7054453178530343,0.6878891343643302,0.692361042869615,0.7156088938119839
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.2772222222222222,0.17448954234118197,0.12720407860267258,0.06030989180121368,0.17412286857171563,0.2772222222222222,0.12536613345988698,0.12720407860267258
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30000,0.0,30000.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/kovae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__rollout_v1__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.2276561558545893,0.43215479246388927,0.3841215370600197,0.255473850161947,0.454210385174109,0.2276561558545893,0.1756318324034024,0.3841215370600197
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,60762,609.0,60153.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/kovae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__rollout_v1__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.7006426993372163,0.751766444146045,0.7136428665680015,0.7285271172919489,0.7127425866500374,0.7006426993372163,0.7038170328505666,0.7136428665680015
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.6723333333333333,0.8530980114347824,0.6741316975355988,0.7055185204636542,0.7640613152699435,0.6723333333333333,0.6427474965819076,0.6741316975355988
aeon,MiniRocketClassifier,kovae,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30000,0.0,30000.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/kovae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__posterior_bank_v2__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.6546495280176743,0.6878159549558395,0.6979917819534793,0.6875045830680312,0.6566455068420218,0.6546495280176743,0.6509296202352118,0.6979917819534793
aeon,MiniRocketClassifier,kovae,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,60762,609.0,60153.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/kovae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__posterior_bank_v2__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.7038561960232979,0.7650828962293015,0.7259670085045815,0.7388546868058812,0.7208277582661684,0.7038561960232979,0.7074253732602754,0.7259670085045815
aeon,MiniRocketClassifier,kovae,real_to_real,none,none,bvp,64,BVP,BVP native 64 Hz,30762,,,10063,0,10063,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.45066083672860974,0.49546075595676603,0.46515924407360365,0.4657955685747629,0.4637232341796391,0.45066083672860974,0.4461025751728682,0.46515924407360365
aeon,MiniRocketClassifier,kovae,real_to_3synthetic,rollout_v1,KoVAE-Rollout,bvp,64,BVP,BVP native 64 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.17855555555555555,0.17235140718076972,0.1401567410424863,0.09991536097994691,0.20067972413043783,0.17855555555555555,0.14912871714990722,0.1401567410424863
aeon,MiniRocketClassifier,kovae,synthetic_to_real,rollout_v1,KoVAE-Rollout,bvp,64,BVP,BVP native 64 Hz,30000,0.0,30000.0,10063,0,10063,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/kovae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__rollout_v1__bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.1591970585312531,0.23180583173767147,0.17044397020721547,0.10221548835012953,0.17501476987741774,0.1591970585312531,0.08026474440027673,0.17044397020721547
