framework,model_family,modality,experiment,synthetic_method,synthetic_method_display_name,accuracy,macro_f1,weighted_f1,balanced_accuracy,used_pretrained_real_model,train_windows_dropped_by_aeon_filter,test_windows_dropped_by_aeon_filter
aeon,kovae,acc,real_to_real,none,none,0.6878891343643302,0.7268383493767439,0.692361042869615,0.7156088938119839,True,,105
aeon,kovae,acc,real_to_3synthetic,rollout_v1,KoVAE-Rollout,0.2772222222222222,0.06030989180121368,0.12536613345988698,0.12720407860267258,True,,0
aeon,kovae,acc,synthetic_to_real,rollout_v1,KoVAE-Rollout,0.2276561558545893,0.255473850161947,0.1756318324034024,0.3841215370600197,False,0.0,105
aeon,kovae,acc,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,0.7006426993372163,0.7285271172919489,0.7038170328505666,0.7136428665680015,False,609.0,105
aeon,kovae,acc,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,0.6723333333333333,0.7055185204636542,0.6427474965819076,0.6741316975355988,True,,0
aeon,kovae,acc,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.6546495280176743,0.6875045830680312,0.6509296202352118,0.6979917819534793,False,0.0,105
aeon,kovae,acc,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.7038561960232979,0.7388546868058812,0.7074253732602754,0.7259670085045815,False,609.0,105
aeon,kovae,bvp,real_to_real,none,none,0.45066083672860974,0.4657955685747629,0.4461025751728682,0.46515924407360365,True,,0
aeon,kovae,bvp,real_to_3synthetic,rollout_v1,KoVAE-Rollout,0.17855555555555555,0.09991536097994691,0.14912871714990722,0.1401567410424863,True,,0
aeon,kovae,bvp,synthetic_to_real,rollout_v1,KoVAE-Rollout,0.1591970585312531,0.10221548835012953,0.08026474440027673,0.17044397020721547,False,0.0,0
aeon,kovae,bvp,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,0.43525787538507404,0.42688341807487895,0.4286087466429351,0.4234848155468854,False,0.0,0
aeon,kovae,bvp,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,0.5933333333333334,0.5752045844850563,0.5877707596389533,0.5542459570758274,True,,0
aeon,kovae,bvp,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.4617907184736162,0.4670738062767542,0.4545300222716667,0.4760858107111474,False,0.0,0
aeon,kovae,bvp,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.47421246149259666,0.48364431322846496,0.46920812755543007,0.482513070280555,False,0.0,0
aeon,kovae,eda,real_to_real,none,none,0.3029911557189705,0.24477248330723497,0.28478853044440633,0.2663784926816365,True,,0
aeon,kovae,eda,real_to_3synthetic,rollout_v1,KoVAE-Rollout,0.15266666666666667,0.11639208854749258,0.14089226480579897,0.14492804899816494,True,,0
aeon,kovae,eda,synthetic_to_real,rollout_v1,KoVAE-Rollout,0.25131670476001194,0.1225409203089507,0.17296606903726408,0.17970665647212644,False,0.0,0
aeon,kovae,eda,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,0.2913644042532048,0.23449769759833475,0.2704008926514787,0.2617062562767771,False,0.0,0
aeon,kovae,eda,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,0.24655555555555556,0.19901424157681247,0.22359569071974975,0.23066930179862677,True,,0
aeon,kovae,eda,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.26970088442810297,0.1853728180907002,0.21777332911260314,0.2537989308104224,False,0.0,0
aeon,kovae,eda,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.30000993739441517,0.23869544638305412,0.2828117001148483,0.26504867535729676,False,0.0,0
aeon,kovae,temp,real_to_real,none,none,0.18265479643893168,0.14568509375950187,0.18861094746413484,0.1734924190407077,True,,66
aeon,kovae,temp,real_to_3synthetic,rollout_v1,KoVAE-Rollout,0.21133333333333335,0.13619910296177584,0.19063980154791485,0.15924653770471975,True,,0
aeon,kovae,temp,synthetic_to_real,rollout_v1,KoVAE-Rollout,0.21776532959887968,0.09750363742775159,0.17399428457477042,0.1923463279173562,False,0.0,66
aeon,kovae,temp,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,0.2095628688606582,0.17758228569582765,0.20896891080786043,0.2163418206115802,False,254.0,66
aeon,kovae,temp,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,0.2926666666666667,0.20145169854728284,0.25064385766509567,0.19931240702366165,True,,0
aeon,kovae,temp,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.21516454936480944,0.16192535183282242,0.20192147556180431,0.22773391730377063,False,0.0,66
aeon,kovae,temp,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.21566469940982294,0.17754439372982872,0.21169466105203905,0.22390343673722274,False,254.0,66
aeon,kovae,fused,real_to_real,none,none,0.6858522841618032,0.7281241609034466,0.6874591209142438,0.7691036543841254,True,,125
aeon,kovae,fused,real_to_3synthetic,rollout_v1,KoVAE-Rollout,0.19366666666666665,0.0939730432917248,0.15121756101834669,0.13095116820317898,True,,0
aeon,kovae,fused,synthetic_to_real,rollout_v1,KoVAE-Rollout,0.302575971020326,0.2950325651681729,0.21310640111711496,0.44703895670300087,False,0.0,125
aeon,kovae,fused,real_plus_synthetic_to_real,rollout_v1,KoVAE-Rollout,0.7004427450191185,0.7282978033774763,0.7024371401069365,0.7678031310045037,False,661.0,125
aeon,kovae,fused,real_to_3synthetic,posterior_bank_v2,KoVAE-Posterior,0.5178888888888888,0.5150700746888706,0.46217905048192004,0.46896667754129556,True,,0
aeon,kovae,fused,synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.6506339303682833,0.6688089358009435,0.6298585264702378,0.7265728080990195,False,0.0,125
aeon,kovae,fused,real_plus_synthetic_to_real,posterior_bank_v2,KoVAE-Posterior,0.7075870396458039,0.7366414097931493,0.7123137250507069,0.7826906056095587,False,661.0,125
