framework,experiment,synthetic_method,modality,row_count,error_count,status
aeon,real_to_real,none,acc,1,0,ok
aeon,real_to_3synthetic,rollout_v1,acc,1,0,ok
aeon,synthetic_to_real,rollout_v1,acc,1,0,ok
aeon,real_plus_synthetic_to_real,rollout_v1,acc,1,0,ok
aeon,real_to_3synthetic,posterior_bank_v2,acc,1,0,ok
aeon,synthetic_to_real,posterior_bank_v2,acc,1,0,ok
aeon,real_plus_synthetic_to_real,posterior_bank_v2,acc,1,0,ok
aeon,real_to_real,none,bvp,1,0,ok
aeon,real_to_3synthetic,rollout_v1,bvp,1,0,ok
aeon,synthetic_to_real,rollout_v1,bvp,1,0,ok
aeon,real_plus_synthetic_to_real,rollout_v1,bvp,1,0,ok
aeon,real_to_3synthetic,posterior_bank_v2,bvp,1,0,ok
aeon,synthetic_to_real,posterior_bank_v2,bvp,1,0,ok
aeon,real_plus_synthetic_to_real,posterior_bank_v2,bvp,1,0,ok
aeon,real_to_real,none,eda,1,0,ok
aeon,real_to_3synthetic,rollout_v1,eda,1,0,ok
aeon,synthetic_to_real,rollout_v1,eda,1,0,ok
aeon,real_plus_synthetic_to_real,rollout_v1,eda,1,0,ok
aeon,real_to_3synthetic,posterior_bank_v2,eda,1,0,ok
aeon,synthetic_to_real,posterior_bank_v2,eda,1,0,ok
aeon,real_plus_synthetic_to_real,posterior_bank_v2,eda,1,0,ok
aeon,real_to_real,none,temp,1,0,ok
aeon,real_to_3synthetic,rollout_v1,temp,1,0,ok
aeon,synthetic_to_real,rollout_v1,temp,1,0,ok
aeon,real_plus_synthetic_to_real,rollout_v1,temp,1,0,ok
aeon,real_to_3synthetic,posterior_bank_v2,temp,1,0,ok
aeon,synthetic_to_real,posterior_bank_v2,temp,1,0,ok
aeon,real_plus_synthetic_to_real,posterior_bank_v2,temp,1,0,ok
aeon,real_to_real,none,fused,1,0,ok
aeon,real_to_3synthetic,rollout_v1,fused,1,0,ok
aeon,synthetic_to_real,rollout_v1,fused,1,0,ok
aeon,real_plus_synthetic_to_real,rollout_v1,fused,1,0,ok
aeon,real_to_3synthetic,posterior_bank_v2,fused,1,0,ok
aeon,synthetic_to_real,posterior_bank_v2,fused,1,0,ok
aeon,real_plus_synthetic_to_real,posterior_bank_v2,fused,1,0,ok
