framework,model,model_family,experiment,synthetic_method,synthetic_method_display_name,modality,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,1,0.4222011385199241,0.5514250309789344,0.4782375067168189,807,445,807,0.5514250309789344
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,2,0.7868383404864091,0.8661417322834646,0.8245877061469266,635,550,635,0.8661417322834646
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,3,0.8495821727019499,0.6869369369369369,0.7596513075965131,444,305,444,0.6869369369369369
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,4,1.0,0.9741750358680057,0.9869186046511628,697,679,697,0.9741750358680057
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,5,0.9379084967320261,0.8422597212032281,0.8875144955546965,1363,1148,1363,0.8422597212032281
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,6,0.6108029197080292,0.6664542848040778,0.6374162096282754,3139,2092,3139,0.6664542848040778
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,7,0.8138364779874214,0.5735815602836879,0.6729069162766511,1128,647,1128,0.5735815602836879
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,8,0.57109692396982,0.5638968481375358,0.5674740484429066,1745,984,1745,0.5638968481375358
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,1,0.1485148514851485,0.017341040462427744,0.031055900621118012,865,15,865,0.017341040462427744
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,2,0.43529411764705883,0.1111111111111111,0.17703349282296652,666,74,666,0.1111111111111111
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,3,0.2602739726027397,0.041666666666666664,0.07183364839319471,456,19,456,0.041666666666666664
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,4,0.0,0.0,0.0,685,0,685,0.0
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,5,0.2903225806451613,0.013353115727002967,0.02553191489361702,1348,18,1348,0.013353115727002967
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,6,0.29783349561830574,0.9547405384315255,0.4540309861768253,2563,2447,2563,0.9547405384315255
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,7,0.41379310344827586,0.028950542822677925,0.05411499436302142,829,24,829,0.028950542822677925
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,8,0.322884012539185,0.06486146095717885,0.108023072889355,1588,103,1588,0.06486146095717885
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,1,0.1497695852534562,0.40272614622057,0.2183406113537118,807,325,807,0.40272614622057
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,2,0.42115768463073855,0.6645669291338583,0.5155772755039707,635,422,635,0.6645669291338583
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,3,0.1471861471861472,0.07657657657657657,0.10074074074074074,444,34,444,0.07657657657657657
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,4,0.0,0.0,0.0,697,0,697,0.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,5,0.27544548474781033,0.669112252384446,0.3902439024390244,1363,912,1363,0.669112252384446
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,6,0.0,0.0,0.0,3139,0,3139,0.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,7,0.496,0.1099290780141844,0.1799709724238026,1128,124,1128,0.1099290780141844
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,8,0.44511989192840257,0.7553008595988538,0.560135996600085,1745,1318,1745,0.7553008595988538
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,1,0.45194274028629855,0.5477075588599752,0.49523809523809526,807,442,807,0.5477075588599752
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,2,0.8118668596237337,0.8834645669291339,0.8461538461538461,635,561,635,0.8834645669291339
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,3,0.8429003021148036,0.6283783783783784,0.72,444,279,444,0.6283783783783784
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,4,0.9780380673499268,0.9583931133428981,0.9681159420289855,697,668,697,0.9583931133428981
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,5,0.935064935064935,0.8451944240645635,0.8878612716763006,1363,1152,1363,0.8451944240645635
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,6,0.6197587593337163,0.6874800892003823,0.651865277148467,3139,2158,3139,0.6874800892003823
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,7,0.8139810426540285,0.6090425531914894,0.6967545638945233,1128,687,1128,0.6090425531914894
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,8,0.6167734420500873,0.6068767908309456,0.6117850953206239,1745,1059,1745,0.6068767908309456
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,1,0.6415857605177994,0.8801331853496115,0.7421619092185306,901,793,901,0.8801331853496115
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,2,0.5620328849028401,0.5921259842519685,0.5766871165644172,635,376,635,0.5921259842519685
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,3,0.2257142857142857,0.17792792792792791,0.19899244332493704,444,79,444,0.17792792792792791
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,4,0.8273381294964028,0.4949784791965567,0.6193895870736086,697,345,697,0.4949784791965567
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,5,0.3485456369107322,0.5099046221570066,0.4140601727733095,1363,695,1363,0.5099046221570066
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,6,0.40921658986175113,0.4232602478551001,0.41611996251171507,3147,1332,3147,0.4232602478551001
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,7,0.592823712948518,0.33687943262411346,0.4296212549462973,1128,380,1128,0.33687943262411346
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,8,0.3564290473017988,0.3060640732265446,0.3293321021852878,1748,535,1748,0.3060640732265446
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,1,0.12903225806451613,0.004624277456647399,0.008928571428571428,865,4,865,0.004624277456647399
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,2,0.09375,0.013513513513513514,0.023622047244094488,666,9,666,0.013513513513513514
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,3,0.061855670103092786,0.013157894736842105,0.0216998191681736,456,6,456,0.013157894736842105
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,4,0.1478494623655914,0.16058394160583941,0.15395381385584325,685,110,685,0.16058394160583941
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,5,0.14686998394863562,0.1357566765578635,0.14109483423284502,1348,183,1348,0.1357566765578635
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,6,0.31045382704899527,0.5364806866952789,0.3933066361556064,2563,1375,2563,0.5364806866952789
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,7,0.1143048128342246,0.20627261761158022,0.14709677419354839,829,171,829,0.20627261761158022
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,8,0.21022067363530778,0.11397984886649874,0.14781543487137608,1588,181,1588,0.11397984886649874
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,1,0.011830201809324982,0.03773584905660377,0.018013245033112583,901,34,901,0.03773584905660377
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,2,0.3205233033524121,0.6173228346456693,0.4219590958019376,635,392,635,0.6173228346456693
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,3,0.0,0.0,0.0,444,0,444,0.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,4,0.08296668761785041,0.18938307030129126,0.11538461538461539,697,132,697,0.18938307030129126
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,5,0.0,0.0,0.0,1363,0,1363,0.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,6,0.33860759493670883,0.3740069907848745,0.3554280537520761,3147,1177,3147,0.3740069907848745
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,7,0.171875,0.00975177304964539,0.018456375838926176,1128,11,1128,0.00975177304964539
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,8,0.16646562123039807,0.07894736842105263,0.10710128055878929,1748,138,1748,0.07894736842105263
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,1,0.6641414141414141,0.8756936736958935,0.755385351842987,901,789,901,0.8756936736958935
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,2,0.5778688524590164,0.6661417322834645,0.6188734455010972,635,423,635,0.6661417322834645
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,3,0.16304347826086957,0.10135135135135136,0.125,444,45,444,0.10135135135135136
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,4,0.8305882352941176,0.5064562410329986,0.6292335115864528,697,353,697,0.5064562410329986
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,5,0.3786270346779901,0.39251650770359503,0.3854466858789625,1363,535,1363,0.39251650770359503
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,6,0.41944444444444445,0.5278042580235145,0.4674264809342901,3147,1661,3147,0.5278042580235145
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,7,0.6207951070336392,0.3599290780141844,0.4556677890011223,1128,406,1128,0.3599290780141844
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,8,0.3823321554770318,0.3094965675057208,0.3420803035093266,1748,541,1748,0.3094965675057208
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,1,0.2559055118110236,0.7214206437291898,0.37779715199070035,901,650,901,0.7214206437291898
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,2,0.07563025210084033,0.05669291338582677,0.06480648064806481,635,36,635,0.05669291338582677
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,3,0.22340425531914893,0.0945945945945946,0.13291139240506328,444,42,444,0.0945945945945946
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,4,0.43686006825938567,0.1836441893830703,0.2585858585858586,697,128,697,0.1836441893830703
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,5,0.22361546499477533,0.15700660308143802,0.18448275862068966,1363,214,1363,0.15700660308143802
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,6,0.33779373368146215,0.328884652049571,0.3332796651102882,3147,1035,3147,0.328884652049571
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,7,0.2859778597785978,0.1374113475177305,0.18562874251497005,1128,155,1128,0.1374113475177305
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,8,0.3939091362955567,0.4513729977116705,0.42068781658224474,1748,789,1748,0.4513729977116705
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,1,0.5,0.0023121387283236996,0.004602991944764097,865,2,865,0.0023121387283236996
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,2,0.09945750452079566,0.08258258258258258,0.09023789991796555,666,55,666,0.08258258258258258
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,3,0.04479041916167665,0.4100877192982456,0.08076009501187649,456,187,456,0.4100877192982456
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,4,0.07505518763796909,0.09927007299270073,0.08548082966687617,685,68,685,0.09927007299270073
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,5,0.1311569301260023,0.1698813056379822,0.1480284421460892,1348,229,1348,0.1698813056379822
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,6,0.21914734480179507,0.11431915723761217,0.15025641025641026,2563,293,2563,0.11431915723761217
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,7,0.08888888888888889,0.024125452352231604,0.03795066413662239,829,20,829,0.024125452352231604
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,8,0.18518518518518517,0.006297229219143577,0.012180267965895249,1588,10,1588,0.006297229219143577
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,1,0.14370015948963316,1.0,0.25128991772416676,901,901,901,1.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,2,0.0,0.0,0.0,635,0,635,0.0
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,3,0.06217616580310881,0.02702702702702703,0.03767660910518053,444,12,444,0.02702702702702703
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,4,0.22580645161290322,0.020086083213773313,0.03689064558629776,697,14,697,0.020086083213773313
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,5,0.28640192539109505,0.3492296404988995,0.31471074380165287,1363,476,1363,0.3492296404988995
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,6,0.2604930046635576,0.12424531299650461,0.16824440619621342,3147,391,3147,0.12424531299650461
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,7,0.18972332015810275,0.0425531914893617,0.06951484431571325,1128,48,1128,0.0425531914893617
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,8,0.058333333333333334,0.004004576659038902,0.007494646680942184,1748,7,1748,0.004004576659038902
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,1,0.22697150430748841,0.7602663706992231,0.3495789742281194,901,685,901,0.7602663706992231
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,2,0.15034965034965034,0.06771653543307087,0.09337676438653637,635,43,635,0.06771653543307087
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,3,0.08256880733944955,0.02027027027027027,0.0325497287522604,444,9,444,0.02027027027027027
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,4,0.46017699115044247,0.1492109038737446,0.22535211267605634,697,104,697,0.1492109038737446
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,5,0.269485903814262,0.2384446074834923,0.253016738030362,1363,325,1363,0.2384446074834923
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,6,0.3290239172592114,0.3234826819192882,0.3262297708700529,3147,1018,3147,0.3234826819192882
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,7,0.298728813559322,0.125,0.17625,1128,141,1128,0.125
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,8,0.4128329297820823,0.3901601830663616,0.4011764705882353,1748,682,1748,0.3901601830663616
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,temp,1,0.0446985446985447,0.048314606741573035,0.04643628509719223,890,43,890,0.048314606741573035
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,temp,2,0.07736063708759955,0.10793650793650794,0.09012591119946985,630,68,630,0.10793650793650794
