framework,model,model_family,experiment,synthetic_method,synthetic_method_display_name,modality,native_hz,channels,description,train_windows_original_before_aeon_filter,train_windows_dropped_by_aeon_filter,train_windows,test_windows_original_before_aeon_filter,test_windows_dropped_by_aeon_filter,test_windows,used_pretrained_real_model,saved_model_file,pretrained_results_dir,aeon_n_kernels,aeon_n_jobs,aeon_low_variation_strategy,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30762,,,10063,105,9958,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.6878891343643302,0.7490333087631975,0.7156088938119839,0.7268383493767439,0.7054453178530343,0.6878891343643302,0.692361042869615,0.7156088938119839
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.3,0.2711145167482344,0.15400305952232385,0.11520300127001225,0.28305917144940945,0.3,0.1768915792052999,0.15400305952232385
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,30000,0.0,30000.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__prior_v1__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.3148222534645511,0.24183484921831933,0.3347764802410611,0.24562618738266692,0.21744368763979066,0.3148222534645511,0.2270203195603478,0.3347764802410611
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,acc,32,"ACC_x,ACC_y,ACC_z",ACC native 32 Hz,60762,609.0,60153.0,10063,105,9958,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__prior_v1__acc.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.7035549307089777,0.7587907685596913,0.7208171843497209,0.7347217614326053,0.7180709016757556,0.7035549307089777,0.707098393696564,0.7208171843497209
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,bvp,64,BVP,BVP native 64 Hz,30762,,,10063,0,10063,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.45066083672860974,0.49546075595676603,0.46515924407360365,0.4657955685747629,0.4637232341796391,0.45066083672860974,0.4461025751728682,0.46515924407360365
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,bvp,64,BVP,BVP native 64 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.22655555555555557,0.15179208600004546,0.148046182130508,0.12968974139375733,0.19175516524166927,0.22655555555555557,0.18819153990856802,0.148046182130508
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,64,BVP,BVP native 64 Hz,30000,0.0,30000.0,10063,0,10063,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__prior_v1__bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.18722051078207294,0.13653355111833682,0.1633934857823921,0.12954283329618213,0.18110643922341085,0.18722051078207294,0.1680573340010929,0.1633934857823921
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,bvp,64,BVP,BVP native 64 Hz,60762,0.0,60762.0,10063,0,10063,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__prior_v1__bvp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.47232435655371163,0.5046050902235655,0.4674236762013403,0.47238919603177987,0.4791099317540772,0.47232435655371163,0.4646693036232029,0.4674236762013403
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,eda,4,EDA,EDA native 4 Hz,30762,,,10063,0,10063,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_eda.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.3029911557189705,0.2791370352800988,0.2663784926816365,0.24477248330723497,0.3042074915952093,0.3029911557189705,0.28478853044440633,0.2663784926816365
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,eda,4,EDA,EDA native 4 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_eda.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.096,0.1679601825402891,0.11360945725610277,0.07618720013081243,0.1863125646867109,0.096,0.0883237651804468,0.11360945725610277
