framework,model_family,modality,experiment,synthetic_method,synthetic_method_display_name,accuracy,macro_f1,weighted_f1,balanced_accuracy,used_pretrained_real_model,train_windows_dropped_by_aeon_filter,test_windows_dropped_by_aeon_filter
aeon,timevae,acc,real_to_real,none,none,0.6878891343643302,0.7268383493767439,0.692361042869615,0.7156088938119839,True,,105
aeon,timevae,acc,real_to_3synthetic,prior_v1,TimeVAE-Prior,0.3,0.11520300127001225,0.1768915792052999,0.15400305952232385,True,,0
aeon,timevae,acc,synthetic_to_real,prior_v1,TimeVAE-Prior,0.3148222534645511,0.24562618738266692,0.2270203195603478,0.3347764802410611,False,0.0,105
aeon,timevae,acc,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,0.7035549307089777,0.7347217614326053,0.707098393696564,0.7208171843497209,False,609.0,105
aeon,timevae,bvp,real_to_real,none,none,0.45066083672860974,0.4657955685747629,0.4461025751728682,0.46515924407360365,True,,0
aeon,timevae,bvp,real_to_3synthetic,prior_v1,TimeVAE-Prior,0.22655555555555557,0.12968974139375733,0.18819153990856802,0.148046182130508,True,,0
aeon,timevae,bvp,synthetic_to_real,prior_v1,TimeVAE-Prior,0.18722051078207294,0.12954283329618213,0.1680573340010929,0.1633934857823921,False,0.0,0
aeon,timevae,bvp,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,0.47232435655371163,0.47238919603177987,0.4646693036232029,0.4674236762013403,False,0.0,0
aeon,timevae,eda,real_to_real,none,none,0.3029911557189705,0.24477248330723497,0.28478853044440633,0.2663784926816365,True,,0
aeon,timevae,eda,real_to_3synthetic,prior_v1,TimeVAE-Prior,0.096,0.07618720013081243,0.0883237651804468,0.11360945725610277,True,,0
aeon,timevae,eda,synthetic_to_real,prior_v1,TimeVAE-Prior,0.18374242273675842,0.11072772667627084,0.1310526371035846,0.19589322898557565,False,0.0,0
aeon,timevae,eda,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,0.29881745006459304,0.2321913199414528,0.27997225248115637,0.25931894409318135,False,0.0,0
aeon,timevae,temp,real_to_real,none,none,0.18265479643893168,0.14568509375950187,0.18861094746413484,0.1734924190407077,True,,66
aeon,timevae,temp,real_to_3synthetic,prior_v1,TimeVAE-Prior,0.07966666666666666,0.03801659323813289,0.03098752210473848,0.1259837568746525,True,,0
aeon,timevae,temp,synthetic_to_real,prior_v1,TimeVAE-Prior,0.2848854656396919,0.09929244142338291,0.16890203030827997,0.19578101648886728,False,0.0,66
aeon,timevae,temp,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,0.2114634390317095,0.18077285519128095,0.21194019598600056,0.21886184002892242,False,254.0,66
aeon,timevae,fused,real_to_real,none,none,0.6858522841618032,0.7281241609034466,0.6874591209142438,0.7691036543841254,True,,125
aeon,timevae,fused,real_to_3synthetic,prior_v1,TimeVAE-Prior,0.181,0.06279220105422845,0.08236742471787227,0.13139538793425426,True,,0
aeon,timevae,fused,synthetic_to_real,prior_v1,TimeVAE-Prior,0.30780841215536325,0.31475345337286387,0.25145735597797836,0.41378567502027896,False,0.0,125
aeon,timevae,fused,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,0.7203662708794526,0.7455083565620664,0.7282472037785452,0.7860299305837113,False,661.0,125
