framework,experiment,synthetic_method,modality,row_count,error_count,status
aeon,real_to_real,none,acc,1,0,ok
aeon,real_to_3synthetic,prior_v1,acc,1,0,ok
aeon,synthetic_to_real,prior_v1,acc,1,0,ok
aeon,real_plus_synthetic_to_real,prior_v1,acc,1,0,ok
aeon,real_to_real,none,bvp,1,0,ok
aeon,real_to_3synthetic,prior_v1,bvp,1,0,ok
aeon,synthetic_to_real,prior_v1,bvp,1,0,ok
aeon,real_plus_synthetic_to_real,prior_v1,bvp,1,0,ok
aeon,real_to_real,none,eda,1,0,ok
aeon,real_to_3synthetic,prior_v1,eda,1,0,ok
aeon,synthetic_to_real,prior_v1,eda,1,0,ok
aeon,real_plus_synthetic_to_real,prior_v1,eda,1,0,ok
aeon,real_to_real,none,temp,1,0,ok
aeon,real_to_3synthetic,prior_v1,temp,1,0,ok
aeon,synthetic_to_real,prior_v1,temp,1,0,ok
aeon,real_plus_synthetic_to_real,prior_v1,temp,1,0,ok
aeon,real_to_real,none,fused,1,0,ok
aeon,real_to_3synthetic,prior_v1,fused,1,0,ok
aeon,synthetic_to_real,prior_v1,fused,1,0,ok
aeon,real_plus_synthetic_to_real,prior_v1,fused,1,0,ok
