model_family,synthetic_method,framework,experiment,native_modality,row_count,error_count,status
kovae,rollout_v1,tsai,real_to_real,acc,0,0,missing
kovae,rollout_v1,tsai,real_to_real,bvp,0,0,missing
kovae,rollout_v1,tsai,real_to_real,eda,0,0,missing
kovae,rollout_v1,tsai,real_to_real,temp,0,0,missing
kovae,rollout_v1,tsai,real_to_real,fused,0,0,missing
kovae,rollout_v1,tsai,real_to_synthetic,acc,0,0,missing
kovae,rollout_v1,tsai,real_to_synthetic,bvp,0,0,missing
kovae,rollout_v1,tsai,real_to_synthetic,eda,0,0,missing
kovae,rollout_v1,tsai,real_to_synthetic,temp,0,0,missing
kovae,rollout_v1,tsai,real_to_synthetic,fused,0,0,missing
kovae,rollout_v1,tsai,synthetic_to_real,acc,0,0,missing
kovae,rollout_v1,tsai,synthetic_to_real,bvp,0,0,missing
kovae,rollout_v1,tsai,synthetic_to_real,eda,0,0,missing
kovae,rollout_v1,tsai,synthetic_to_real,temp,0,0,missing
kovae,rollout_v1,tsai,synthetic_to_real,fused,0,0,missing
kovae,rollout_v1,tsai,real_plus_synthetic_to_real,acc,0,0,missing
kovae,rollout_v1,tsai,real_plus_synthetic_to_real,bvp,0,0,missing
kovae,rollout_v1,tsai,real_plus_synthetic_to_real,eda,0,0,missing
kovae,rollout_v1,tsai,real_plus_synthetic_to_real,temp,0,0,missing
kovae,rollout_v1,tsai,real_plus_synthetic_to_real,fused,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_real,acc,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_real,bvp,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_real,eda,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_real,temp,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_real,fused,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_synthetic,acc,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_synthetic,bvp,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_synthetic,eda,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_synthetic,temp,0,0,missing
kovae,posterior_bank_v2,tsai,real_to_synthetic,fused,0,0,missing
kovae,posterior_bank_v2,tsai,synthetic_to_real,acc,0,0,missing
kovae,posterior_bank_v2,tsai,synthetic_to_real,bvp,0,0,missing
kovae,posterior_bank_v2,tsai,synthetic_to_real,eda,0,0,missing
kovae,posterior_bank_v2,tsai,synthetic_to_real,temp,0,0,missing
kovae,posterior_bank_v2,tsai,synthetic_to_real,fused,0,0,missing
kovae,posterior_bank_v2,tsai,real_plus_synthetic_to_real,acc,0,0,missing
kovae,posterior_bank_v2,tsai,real_plus_synthetic_to_real,bvp,0,0,missing
kovae,posterior_bank_v2,tsai,real_plus_synthetic_to_real,eda,0,0,missing
kovae,posterior_bank_v2,tsai,real_plus_synthetic_to_real,temp,0,0,missing
kovae,posterior_bank_v2,tsai,real_plus_synthetic_to_real,fused,0,0,missing
