model_family,synthetic_method,synthetic_method_display_name,framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.3030769230769231,0.4372918978912319,0.3580190822353475,901,394,901,0.4372918978912319
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.8434343434343434,0.7889763779527559,0.8152969894222946,635,501,635,0.7889763779527559
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.601113172541744,0.7297297297297297,0.659206510681587,444,324,444,0.7297297297297297
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,1.0,0.7388809182209469,0.8498349834983498,697,515,697,0.7388809182209469
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.7867158671586716,0.7820983125458547,0.7844002943340692,1363,1066,1363,0.7820983125458547
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.5188679245283019,0.5068319034000636,0.5127792959331298,3147,1595,3147,0.5068319034000636
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.8410526315789474,0.7083333333333334,0.7690086621751684,1128,799,1128,0.7083333333333334
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.4003456221198156,0.3975972540045767,0.3989667049368542,1748,695,1748,0.3975972540045767
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",1,0.0,0.0,0.0,898,0,898,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",2,0.0,0.0,0.0,589,0,589,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",3,0.05040752351097179,0.9640287769784173,0.09580552907530981,417,402,417,0.9640287769784173
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",4,0.0,0.0,0.0,677,0,677,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",5,0.0,0.0,0.0,1437,0,1437,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",6,0.4682926829268293,0.19292604501607716,0.27327070879590093,2488,480,2488,0.19292604501607716
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",7,0.0,0.0,0.0,862,0,862,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",8,0.0,0.0,0.0,1632,0,1632,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.0,0.0,0.0,901,0,901,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.03968253968253968,0.007874015748031496,0.013140604467805518,635,5,635,0.007874015748031496
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.0,0.0,0.0,444,0,444,0.0
