model_family,synthetic_method,synthetic_method_display_name,framework,model,experiment,native_modality,native_hz,channels,description,input_shape_train_native_N_T_C,input_shape_test_native_N_T_C,input_shape_train_framework_N_C_T,input_shape_test_framework_N_C_T,epochs,best_epoch_by_val_accuracy,best_val_accuracy,saved_best_model_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,_loaded_from_result_csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[30762, 256, 3]","[10063, 256, 3]","[30762, 3, 256]","[10063, 3, 256]",50,34,0.7380327582359314,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_acc.pth,False,,1024,0.001,0.5852131571102057,0.6618258105548434,0.6362174658848117,0.6434390654021,0.6087876344724213,0.5852131571102057,0.5935606749736944,0.6362174658848117,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/tsai_native_downstream_results.csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[30762, 256, 3]","[9000, 256, 3]","[30762, 3, 256]","[9000, 3, 256]",0,34,0.7380327582359314,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_to_real_acc.pth,True,real_to_real,1024,0.001,0.098,0.06483752580472514,0.1446193527493118,0.04613452973390134,0.1317924591584474,0.098,0.07998315878984508,0.1446193527493118,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[30000, 256, 3]","[10063, 256, 3]","[30000, 3, 256]","[10063, 3, 256]",50,1,0.36540982127189636,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_synthetic_to_real_acc.pth,False,,1024,0.001,0.3912352181258074,0.24974524727953656,0.3010351091071484,0.26535472552115724,0.33379527679324206,0.3912352181258074,0.3535493425665378,0.3010351091071484,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",ACC only,"[60762, 256, 3]","[10063, 256, 3]","[60762, 3, 256]","[10063, 3, 256]",50,17,0.7547541260719299,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_plus_synthetic_to_real_acc.pth,False,,1024,0.001,0.6199940375633509,0.7074534028024384,0.6576153665704711,0.6738755718434012,0.647870382298217,0.6199940375633509,0.6260435073188102,0.6576153665704711,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,BVP only,"[30762, 512, 1]","[10063, 512, 1]","[30762, 1, 512]","[10063, 1, 512]",50,15,0.5247541069984436,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_bvp.pth,False,,1024,0.001,0.4893173010036768,0.508837410110009,0.5558533956283456,0.5097198660960804,0.5148579662875507,0.4893173010036768,0.4837134124883575,0.5558533956283456,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/tsai_native_downstream_results.csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,BVP only,"[30762, 512, 1]","[9000, 512, 1]","[30762, 1, 512]","[9000, 1, 512]",0,15,0.5247541069984436,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_to_real_bvp.pth,True,real_to_real,1024,0.001,0.096,0.0934449605971225,0.1369628759743091,0.04640150295063203,0.1395432130354831,0.096,0.05529660719477012,0.1369628759743091,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,BVP only,"[30000, 512, 1]","[10063, 512, 1]","[30000, 1, 512]","[10063, 1, 512]",50,22,0.239180326461792,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_synthetic_to_real_bvp.pth,False,,1024,0.001,0.2713902414786843,0.1425801562524689,0.14316914189709384,0.09562954305892897,0.1562473925018268,0.2713902414786843,0.17389927890321083,0.14316914189709384,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,BVP only,"[60762, 512, 1]","[10063, 512, 1]","[60762, 1, 512]","[10063, 1, 512]",50,27,0.5099999904632568,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_plus_synthetic_to_real_bvp.pth,False,,1024,0.001,0.4551326642154427,0.5030774889845699,0.5594621007172424,0.4952681985524411,0.4846143002412084,0.4551326642154427,0.43628589567614334,0.5594621007172424,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,EDA only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",50,49,0.5367212891578674,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_eda.pth,False,,1024,0.001,0.3101460796979032,0.3211427002758386,0.3012069608596354,0.2610163505619712,0.3225022197767152,0.3101460796979032,0.282838909503062,0.3012069608596354,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/tsai_native_downstream_results.csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,EDA only,"[30762, 32, 1]","[9000, 32, 1]","[30762, 1, 32]","[9000, 1, 32]",0,49,0.5367212891578674,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_to_real_eda.pth,True,real_to_real,1024,0.001,0.13133333333333333,0.08742653548776806,0.12765068387033335,0.07883186149466165,0.1356630152667355,0.13133333333333333,0.09566497814900622,0.12765068387033335,
