framework,experiment,native_modality,row_count,error_count,status
tsai,real_to_real,acc,1,0,ok
tsai,real_to_real,bvp,1,0,ok
tsai,real_to_real,eda,1,0,ok
tsai,real_to_real,temp,1,0,ok
tsai,real_to_real,fused,1,0,ok
tsai,real_to_synthetic,acc,1,0,ok
tsai,real_to_synthetic,bvp,1,0,ok
tsai,real_to_synthetic,eda,1,0,ok
tsai,real_to_synthetic,temp,1,0,ok
tsai,real_to_synthetic,fused,1,0,ok
tsai,synthetic_to_real,acc,1,0,ok
tsai,synthetic_to_real,bvp,1,0,ok
tsai,synthetic_to_real,eda,1,0,ok
tsai,synthetic_to_real,temp,1,0,ok
tsai,synthetic_to_real,fused,1,0,ok
tsai,real_plus_synthetic_to_real,acc,1,0,ok
tsai,real_plus_synthetic_to_real,bvp,1,0,ok
tsai,real_plus_synthetic_to_real,eda,1,0,ok
tsai,real_plus_synthetic_to_real,temp,1,0,ok
tsai,real_plus_synthetic_to_real,fused,1,0,ok
