epoch,train_total_loss,train_reconstruction_loss,train_bvp_loss,train_acc_loss,train_slow_loss,train_kl_loss,train_koopman_loss,train_koopman_prediction_loss,train_activity_classifier_loss,train_activity_accuracy,val_total_loss,val_reconstruction_loss,val_bvp_loss,val_acc_loss,val_slow_loss,val_kl_loss,val_koopman_loss,val_koopman_prediction_loss,val_activity_classifier_loss,val_activity_accuracy
1,0.4573940018064899,0.3952182006265506,0.11274908529797384,0.22162991829396192,0.060839197183810534,1.9309617450384378,0.11555526844731358,0.11555522877434032,0.24344655112044905,0.944802028476692,0.20369145083867135,0.1939252062972452,0.026543814710906295,0.08735709157390673,0.08002429882217138,2.79366183749965,0.05655900244952225,0.05655893691494816,0.00658342105458628,0.9995081967213115
2,0.2366827235064684,0.22695971020067415,0.03496909436734846,0.16424035402769913,0.02775026192139854,3.0818113479616738,0.060125454075430546,0.06012536272625527,0.0031432845869015786,0.999869969442819,0.35420861760612393,0.34701509488166354,0.03452869733215355,0.09387131046748064,0.21861508966675486,3.173903949925157,0.03693749183514079,0.03693737726475372,0.0016293640214793354,0.9995081967213115
3,0.21027705462815494,0.2028352851553706,0.029057291679132256,0.15287423622901927,0.02090375713314252,3.288175805865474,0.03910074238256991,0.03910059513199989,0.0012175972119272123,0.9999349847214095,0.2542868950694311,0.2479199392751592,0.04206926273640062,0.08006785426472054,0.1257828190531887,3.3402429613519886,0.027010705438671543,0.027010546211214338,0.001628207417775602,1.0
4,0.1830339577305992,0.17621532431908093,0.023926169842512616,0.13570380993572526,0.01658534471795237,3.4009589874095703,0.03287812618056879,0.03287793627492834,0.0006493099542929143,1.0,0.17864595869036973,0.1730736974907703,0.014822124157436802,0.07257200580426171,0.0856795680748879,3.3983017241368527,0.02063181750018333,0.02063161998681846,0.0005538839199456204,1.0
5,0.17535311269164125,0.16889919451441585,0.024819751081380414,0.13136858982916547,0.012710853422310197,3.457479086880814,0.029129714720369192,0.029129486935252323,0.0004173369155295235,1.0,0.17657764187846028,0.17104115743617543,0.01021643869227684,0.06887090159824392,0.09195381588897988,3.4251066937993784,0.02025162422449374,0.020251399289328054,0.00043107626868553125,1.0
6,0.162520403123694,0.156212721236753,0.01995455671345705,0.12512651035427372,0.011131654240471451,3.4983165422858344,0.027462060880004358,0.027461805434467756,0.0003157949294135574,1.0,0.1862675696196126,0.18095172901622586,0.03170232532271108,0.06577620282524922,0.08347320027939487,3.4934459076553095,0.017652830170375892,0.017652578966417275,0.00028554965237982867,1.0
7,0.150172914639498,0.1440504179389112,0.01709218819463825,0.11756883686877423,0.00938939270268847,3.5249329665168956,0.0255147091648113,0.025514424851968448,0.00023046393797825993,1.0,0.13401198533592654,0.12880960770928468,0.007267037100601391,0.06239010365435579,0.05915246704600935,3.5354077071830874,0.016125413510093434,0.016125136087419556,0.00027214044430455363,1.0
8,0.1436068309848481,0.13769701276114746,0.013700362518826965,0.1164511136347827,0.007545536585860829,3.5451775757251607,0.02327409967456533,0.023273788209076697,0.00018615098281525198,1.0,0.12357253547452512,0.11845996231451386,0.007168144859892667,0.06324797907935792,0.04804383934444947,3.4968693443986236,0.015847228066843064,0.015846927707373608,0.0001549015475125014,1.0
9,0.13831759720031234,0.13251346225709384,0.015238054899836569,0.11028604355034179,0.006989364211693552,3.551526055767852,0.02221731527090677,0.022216982023090397,0.00015438509796689408,1.0,0.1382985443621874,0.13326634705982737,0.01142706254771987,0.05743537678673375,0.06440390754834611,3.546271596033065,0.01417205858090129,0.014171738939695672,0.00034359161971522437,1.0
10,0.1335749117208623,0.1278990432092051,0.012942037371607694,0.10868815738724977,0.006268848187438661,3.5611204332481026,0.02089530683065234,0.02089495368301384,0.00012608651694414146,1.0,0.11786815517383521,0.1128928893572483,0.007751600664780765,0.05891124520359225,0.04623004482967443,3.572328161020748,0.013787189861301516,0.013786852674283942,0.00012109781874030767,1.0
