subject,duration_acc_sec_original,duration_bvp_sec_original,duration_eda_sec_original,duration_temp_sec_original,duration_activity_sec_original,min_duration_before_s6_guard_sec,duration_after_s6_guard_sec,s6_special_crop_applied,num_windows_after_filtering
S1,9212.0,9212.0,9212.0,9212.0,9212.0,9212.0,9212.0,False,3445
S2,8205.0,8205.0,8205.0,8205.0,8205.0,8205.0,8205.0,False,2823
S3,8741.0,8741.0,8741.0,8741.0,8741.0,8741.0,8741.0,False,3344
S4,9150.0,9150.0,9150.0,9150.0,9150.0,9150.0,9150.0,False,3295
S5,9305.0,9305.0,9305.0,9305.0,9305.0,9305.0,9305.0,False,3345
S6,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,5250.0,False,1463
S7,9343.0,9343.0,9343.0,9343.0,9343.0,9343.0,9343.0,False,3553
S8,8080.0,8080.0,8080.0,8080.0,8080.0,8080.0,8080.0,False,2978
S9,8560.0,8560.0,8560.0,8560.0,8560.0,8560.0,8560.0,False,3257
S10,10648.0,10648.0,10648.0,10648.0,10648.0,10648.0,10648.0,False,3532
S11,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,False,3490
S12,7914.0,7914.0,7914.0,7914.0,7914.0,7914.0,7914.0,False,2944
S13,9136.0,9136.0,9136.0,9136.0,9136.0,9136.0,9136.0,False,3356
S14,8958.0,8958.0,8958.0,8958.0,8958.0,8958.0,8958.0,False,3177
S15,7939.0,7939.0,7939.0,7939.0,7939.0,7939.0,7939.0,False,2923
