method,signal,real_num_windows,syn_num_windows,abs_mean_diff_lower_is_better,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
rollout_v1,ACC_x,30762,30000,0.3196135051548481,0.7730039739981294,0.19508148073745823,0.7929651252925396
rollout_v1,ACC_y,30762,30000,0.5368409678339958,0.6872107377275825,0.11207174356140165,0.4515117481350899
rollout_v1,ACC_z,30762,30000,0.4272054359316826,0.7338151661679149,0.13099936226438305,0.7145595904439688
rollout_v1,BVP,30762,30000,0.008515027551482035,0.9260416012257338,0.33955571198113643,0.38902653008699417
rollout_v1,EDA,30762,30000,0.37296119751408696,0.667107256129384,0.1100395613433833,0.2153975972905755
rollout_v1,TEMP,30762,30000,0.4475507577881217,0.6064910381101072,0.10391423447139467,0.23467527702450752
posterior_bank_v2,ACC_x,30762,30000,0.03230455983430147,0.2410138100385666,0.8205476408914498,0.30734354816377163
posterior_bank_v2,ACC_y,30762,30000,0.04059312120079994,0.20368413999676704,0.7887927953583275,0.3137542037293315
posterior_bank_v2,ACC_z,30762,30000,0.06969100039714249,0.23477406054735184,0.8040652296353923,0.3417822737246752
posterior_bank_v2,BVP,30762,30000,0.0331271031989786,0.2915079891681671,0.9106814441442564,0.12769870925694704
posterior_bank_v2,EDA,30762,30000,0.05387225083541125,0.20654482766985893,0.653248940654121,0.028270342852920294
posterior_bank_v2,TEMP,30762,30000,0.05034046620130539,0.18750284984707832,0.6538305891695143,0.023252678802236915
