method,method_display_name,signal,real_train_sampled_windows,synthetic_sampled_windows,real_train_to_nearest_real_train_mse_mean,syn_to_nearest_train_real_mse_mean,syn_to_nearest_syn_mse_mean,copy_ratio_mean,near_duplicate_rate_p01_lower_is_better,synthetic_diversity_ratio_mean
rollout_v1,KoVAE-Rollout,ACC_x,8000,8000,0.45853281023697495,0.08658532121090684,0.02587132164905779,0.34845775405024954,0.10025,0.125449230157125
rollout_v1,KoVAE-Rollout,ACC_y,8000,8000,0.15862635887795476,0.08272857849183492,0.010397642239928246,0.9810038732981661,0.0,0.17705259069544163
rollout_v1,KoVAE-Rollout,ACC_z,8000,8000,0.29692977200207676,0.09373361135390587,0.016317859139642676,0.3724325466141203,0.010375,0.09560455036415227
rollout_v1,KoVAE-Rollout,BVP,8000,8000,0.9046305203065859,0.0650399078578921,0.043511761392001067,0.08674387111985947,0.07137500000000001,0.0633032944217686
rollout_v1,KoVAE-Rollout,EDA,8000,8000,0.001267373969611981,0.010217503720527021,0.0008829964415090217,62.61302964810517,0.0,4.041177760190273
rollout_v1,KoVAE-Rollout,TEMP,8000,8000,9.520358981626487e-05,0.018387166381726276,0.0007267003953311359,202.9083327426664,0.0,8.097736445435157
posterior_bank_v2,KoVAE-Posterior,ACC_x,8000,8000,0.45853281023697495,0.2194599470656103,0.21910005393340543,0.5442007161048164,0.1105,0.560279558398957
posterior_bank_v2,KoVAE-Posterior,ACC_y,8000,8000,0.15862635887795476,0.08228675510037282,0.06892631355805497,0.6471004761731906,0.092,0.559330999012194
posterior_bank_v2,KoVAE-Posterior,ACC_z,8000,8000,0.29692977200207676,0.13952296587958699,0.1339523726562038,0.5350473281757264,0.093875,0.5280881468904386
posterior_bank_v2,KoVAE-Posterior,BVP,8000,8000,0.9046305203065859,0.44792275864223485,0.46036793582054086,0.5142338781769239,0.16175,0.5315008665501504
posterior_bank_v2,KoVAE-Posterior,EDA,8000,8000,0.001267373969611981,0.0011813168454300467,0.0009638608414825285,5.710194065572921,0.0,1.1907628412372109
posterior_bank_v2,KoVAE-Posterior,TEMP,8000,8000,9.520358981626487e-05,0.0003757279661544999,0.00020876949784633326,4.212715794326975,0.0,2.2945599061572524
