method,method_display_name,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,reference_split,real_sampled_windows,synthetic_sampled_windows,real_mean,synthetic_mean,abs_mean_diff_lower_is_better,real_std,synthetic_std,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
posterior_bank_v2,KoVAE-Posterior,1,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.5227387532284047,-0.5921738194739447,0.06943506624553997,0.7836686941694132,0.6647133709610884,0.1189553232083248,0.75137109375,0.1418215571867588
posterior_bank_v2,KoVAE-Posterior,1,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.1706679585682359,-0.14169263591253548,0.028975322655700436,0.6049259148084507,0.5421727752483505,0.0627531395601002,0.7918046875,0.11558147805158023
posterior_bank_v2,KoVAE-Posterior,1,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.10074613496319944,-0.07742937888891174,0.023316756074287695,0.9285534448710427,0.8115843896563223,0.11696905521472045,0.79196484375,0.14895899208522678
posterior_bank_v2,KoVAE-Posterior,1,BVP,BVP,0,64,512,real_train,1000,1000,0.0007357849791827533,-0.008705136721624967,0.00944092170080772,0.5563931657209129,0.4628956132477178,0.09349755247319513,0.9319179687500001,0.05172097038733679
posterior_bank_v2,KoVAE-Posterior,1,EDA,SLOW,0,4,32,real_train,1000,1000,-0.6125168065050602,-0.6573450039341114,0.0448281974290512,0.4346821836171712,0.3160922996865321,0.11858988393063913,0.5838749999999999,0.029579918449895302
posterior_bank_v2,KoVAE-Posterior,1,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.4945263327960856,-0.4944478634770494,7.846931903621179e-05,0.4852228494874468,0.413384823368326,0.07183802611912082,0.6864375,0.018366753469874677
posterior_bank_v2,KoVAE-Posterior,2,ACC_x,ACC,0,32,256,real_train,1000,1000,0.5799805213964137,0.577830433927782,0.0021500874686316562,0.6555217848758739,0.5498714693414017,0.10565031553447213,0.9132304687499999,0.3180817290682993
posterior_bank_v2,KoVAE-Posterior,2,ACC_y,ACC,1,32,256,real_train,1000,1000,1.136424452079482,1.1077308773123078,0.028693574767174157,1.1873654185699518,1.0138946484368618,0.17347077013308998,0.8603710937499999,0.40533455628524945
posterior_bank_v2,KoVAE-Posterior,2,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.4576067731983057,-0.5142313015709223,0.05662452837261661,0.6270857198924703,0.5338473850641624,0.0932383348283079,0.9081679687499999,0.3367255508997039
posterior_bank_v2,KoVAE-Posterior,2,BVP,BVP,0,64,512,real_train,1000,1000,-6.88610069327531e-05,-0.018293192471329347,0.018224331464396594,0.9938131883824645,0.7958055427407975,0.19800764564166695,0.9490234375,0.09222664689323812
posterior_bank_v2,KoVAE-Posterior,2,EDA,SLOW,0,4,32,real_train,1000,1000,-0.16789378723132928,-0.23880048951390198,0.0709067022825727,0.9280130832520009,0.7406714712814575,0.18734161197054344,0.73928125,0.022123034392532485
posterior_bank_v2,KoVAE-Posterior,2,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.7368968215142159,-0.7544861293968279,0.017589307882612037,0.6010940700314104,0.494220241279736,0.10687382875167434,0.64290625,0.02862590514601326
posterior_bank_v2,KoVAE-Posterior,3,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.245087117766343,-0.2760549268676259,0.030967809101282884,0.9437044045958994,0.7726438380683184,0.17106056652758106,0.9202343749999999,0.28674155661059747
posterior_bank_v2,KoVAE-Posterior,3,ACC_y,ACC,1,32,256,real_train,1000,1000,0.8462796166381303,0.861323998780048,0.015044382141917612,0.7798484135093257,0.667731175250743,0.11211723825858266,0.86803125,0.3712286053772531
posterior_bank_v2,KoVAE-Posterior,3,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.6510598345418476,-0.685642474974913,0.03458264043306547,0.9992874824083324,0.8363300163650416,0.16295746604329087,0.9041328125000001,0.38736043446158985
