method,method_display_name,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,reference_split,real_sampled_windows,synthetic_sampled_windows,real_mean,synthetic_mean,abs_mean_diff_lower_is_better,real_std,synthetic_std,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
rollout_v1,KoVAE-Rollout,1,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.5227387532284047,0.1442505624921614,0.6669893157205661,0.7836686941694132,0.22493894662039757,0.5587297475490156,0.25873828125,0.6096708259432461
rollout_v1,KoVAE-Rollout,1,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.1706679585682359,0.3788119115444133,0.5494798701126492,0.6049259148084507,0.17938043519248362,0.4255454796159671,0.09991406250000001,0.5791934834231325
rollout_v1,KoVAE-Rollout,1,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.10074613496319944,0.07043115788138675,0.1711772928445862,0.9285534448710427,0.18990183902784638,0.7386516058431963,0.176421875,0.5153905851352439
rollout_v1,KoVAE-Rollout,1,BVP,BVP,0,64,512,real_train,1000,1000,0.0007357849791827533,-0.06702099248767217,0.06775677746685492,0.5563931657209129,0.16854343587397516,0.3878497298469378,0.5766933593750001,0.09124240567981856
rollout_v1,KoVAE-Rollout,1,EDA,SLOW,0,4,32,real_train,1000,1000,-0.6125168065050602,-0.009557683039165567,0.6029591234658946,0.4346821836171712,0.1259448832938636,0.3087373003233076,0.09125,0.4870639119416045
rollout_v1,KoVAE-Rollout,1,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.4945263327960856,-0.30058026695484297,0.19394606584124263,0.4852228494874468,0.09003637964061798,0.3951864698468288,0.18321875,0.24633661152302444
rollout_v1,KoVAE-Rollout,2,ACC_x,ACC,0,32,256,real_train,1000,1000,0.5799805213964137,0.31660834119947684,0.2633721801969368,0.6555217848758739,0.18835762575820048,0.4671641591176734,0.38805078125,0.7007618065102306
rollout_v1,KoVAE-Rollout,2,ACC_y,ACC,1,32,256,real_train,1000,1000,1.136424452079482,0.5043329812014999,0.632091470877982,1.1873654185699518,0.26648386243734146,0.9208815561326104,0.13423046875,0.4606973176832242
rollout_v1,KoVAE-Rollout,2,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.4576067731983057,0.005717099419976876,0.4633238726182826,0.6270857198924703,0.16780879940065435,0.45927692049181595,0.3023125,0.6570430114682143
rollout_v1,KoVAE-Rollout,2,BVP,BVP,0,64,512,real_train,1000,1000,-6.88610069327531e-05,-0.06606335846732872,0.06599449746039597,0.9938131883824645,0.21029773826618192,0.7835154501162825,0.55875,0.23995274194856103
rollout_v1,KoVAE-Rollout,2,EDA,SLOW,0,4,32,real_train,1000,1000,-0.16789378723132928,-0.030552571358624846,0.13734121587270443,0.9280130832520009,0.12977509377615168,0.7982379894758492,0.115625,0.3986262772831617
rollout_v1,KoVAE-Rollout,2,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.7368968215142159,-0.3552831180770881,0.38161370343712775,0.6010940700314104,0.12687536417078737,0.474218705860623,0.17671874999999998,0.3311616011046974
rollout_v1,KoVAE-Rollout,3,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.245087117766343,0.1788609008322237,0.4239480185985667,0.9437044045958994,0.2465796723870887,0.6971247322088108,0.30965234375,0.8708011709380051
rollout_v1,KoVAE-Rollout,3,ACC_y,ACC,1,32,256,real_train,1000,1000,0.8462796166381303,0.40195714031037644,0.4443224763277539,0.7798484135093257,0.20484749184315285,0.5750009216661728,0.15270703125,0.5252373676654695
rollout_v1,KoVAE-Rollout,3,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.6510598345418476,-0.03781353673801641,0.6132462978038311,0.9992874824083324,0.25349068236839545,0.745796800039937,0.3255390625,0.9592767988362446
rollout_v1,KoVAE-Rollout,3,BVP,BVP,0,64,512,real_train,1000,1000,0.0009443562059340352,-0.08832360426512423,0.08926796047105827,1.346010291309056,0.27066117467081036,1.0753491166382456,0.503142578125,0.356563937816448
rollout_v1,KoVAE-Rollout,3,EDA,SLOW,0,4,32,real_train,1000,1000,1.0283883690949496,0.3691432444942766,0.659245124600673,1.1393802848028258,0.20151049551908534,0.9378697892837404,0.19646875000000003,0.3767841898598424
rollout_v1,KoVAE-Rollout,3,TEMP,SLOW,1,4,32,real_train,1000,1000,-1.0027048983570421,-0.3334574387578759,0.6692474595991662,0.9465884677503682,0.22117942505420804,0.7254090426961601,0.12234375,0.5048106453920508
rollout_v1,KoVAE-Rollout,4,ACC_x,ACC,0,32,256,real_train,1000,1000,0.6403958853652657,0.2732395851136098,0.3671563002516559,1.266551844817447,0.20988646239929282,1.0566653824181542,0.28151562500000005,1.412547466761453
rollout_v1,KoVAE-Rollout,4,ACC_y,ACC,1,32,256,real_train,1000,1000,0.7754716316823106,0.4648240359903721,0.3106475956919385,0.872628370838459,0.18214225889883523,0.6904861119396237,0.25389453125,1.2122433140943327
rollout_v1,KoVAE-Rollout,4,ACC_z,ACC,2,32,256,real_train,1000,1000,0.773812113938744,0.146262798340671,0.627549315598073,0.8584508322566295,0.17810847700835403,0.6803423552482755,0.19363671875,1.2365032093300996
rollout_v1,KoVAE-Rollout,4,BVP,BVP,0,64,512,real_train,1000,1000,0.0007012702867980351,-0.07723917551337946,0.07794044580017749,1.2191737171634314,0.25761977857853025,0.9615539385849011,0.47103125,0.30070230567865625
rollout_v1,KoVAE-Rollout,4,EDA,SLOW,0,4,32,real_train,1000,1000,-0.015141685504309606,-0.0008548142747022211,0.014286871229607385,0.5107635034589814,0.10851066743874142,0.4022528360202399,0.37853125,0.1816691514691082
rollout_v1,KoVAE-Rollout,4,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.5634627448523243,-0.3326003113719635,0.23086243348036078,0.687592589999537,0.17328507296590476,0.5143075170336322,0.20725,0.37721713165196014
rollout_v1,KoVAE-Rollout,5,ACC_x,ACC,0,32,256,real_train,1000,1000,0.16526325565606384,0.14274067417102923,0.02252258148503461,1.1500958454385046,0.2561314159373932,0.8939644295011114,0.30957421875,0.6149762888533736
rollout_v1,KoVAE-Rollout,5,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.4935734154020756,0.2189512559538998,0.7125246713559754,0.5107981700096144,0.20530683734308172,0.3054913326665326,0.1512265625,0.2769700358494195
rollout_v1,KoVAE-Rollout,5,ACC_z,ACC,2,32,256,real_train,1000,1000,0.5747726661116612,0.13717226672954713,0.4376003993821141,0.7886831059577948,0.20168838657139926,0.5869947193863956,0.24339062499999997,0.5966141776700576
rollout_v1,KoVAE-Rollout,5,BVP,BVP,0,64,512,real_train,1000,1000,-0.0015235983647313774,-0.07470455185537185,0.07318095349064048,1.09300933443873,0.26779126042440543,0.8252180740143245,0.49082421874999993,0.2693201629615989
rollout_v1,KoVAE-Rollout,5,EDA,SLOW,0,4,32,real_train,1000,1000,0.6809849796233884,0.18765138865838527,0.4933335909650032,1.014879927759346,0.1934818251655258,0.8213981025938203,0.26340624999999995,0.29437376992996384
rollout_v1,KoVAE-Rollout,5,TEMP,SLOW,1,4,32,real_train,1000,1000,0.3181384509468044,-0.09722424294310622,0.4153626938899106,0.9079294822251933,0.18415244702698347,0.7237770351982098,0.1985,0.5180956503827829
rollout_v1,KoVAE-Rollout,6,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.2194921494050577,0.10796281876308786,0.32745496816814557,0.8625422959783454,0.19910227260843838,0.663440023369907,0.27385546875,0.34102651724926114
rollout_v1,KoVAE-Rollout,6,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.28522772074391106,0.31762836213634,0.602856082880251,0.7522626491905299,0.19888696623444327,0.5533756829560866,0.1666640625,0.1379414516314745
rollout_v1,KoVAE-Rollout,6,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.09919638477862464,0.11142588090153731,0.21062226568016196,1.0557845242768984,0.21178227150681378,0.8440022527700846,0.23810546874999997,0.22815231761148197
rollout_v1,KoVAE-Rollout,6,BVP,BVP,0,64,512,real_train,1000,1000,-0.0018727795632005701,-0.0752603247061993,0.07338754514299872,1.015164635245401,0.23164699570459185,0.783517639540809,0.56609375,0.1911894529108305
rollout_v1,KoVAE-Rollout,6,EDA,SLOW,0,4,32,real_train,1000,1000,-0.09622304783331267,-0.08859796392935096,0.007625083903961716,0.6650986336788438,0.11220175996477741,0.5528968737140664,0.277875,0.2825408183205385
rollout_v1,KoVAE-Rollout,6,TEMP,SLOW,1,4,32,real_train,1000,1000,0.5024156774969815,-0.11357096113986336,0.6159866386368448,0.5542514179839734,0.15386780876626102,0.4003836092177123,0.18721875000000002,0.4630110730592455
rollout_v1,KoVAE-Rollout,7,ACC_x,ACC,0,32,256,real_train,1000,1000,0.4237359677579661,0.2216197859984095,0.20211618175955662,0.9102287402648367,0.21193117604414446,0.6982975642206922,0.32205859375,0.7577107423142808
rollout_v1,KoVAE-Rollout,7,ACC_y,ACC,1,32,256,real_train,1000,1000,1.1118473200994559,0.46855799079232385,0.643289329307132,1.1475062144028416,0.25962115999108953,0.887885054411752,0.14033593749999998,0.42229161130451576
rollout_v1,KoVAE-Rollout,7,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.5268404840407602,-0.03542187256116449,0.49141861147959576,0.7848860199714865,0.18142390981683693,0.6034621101546496,0.33152343749999996,0.6910172198501376
rollout_v1,KoVAE-Rollout,7,BVP,BVP,0,64,512,real_train,1000,1000,5.374374766495649e-05,-0.059670540285854716,0.059724284033519676,1.3003810446343838,0.24681426703161055,1.0535667776027733,0.5139531250000001,0.3219781915537331
rollout_v1,KoVAE-Rollout,7,EDA,SLOW,0,4,32,real_train,1000,1000,-0.18755556870582427,-0.009025669604947325,0.17852989910087694,0.4250438862658663,0.09228661607648363,0.33275727018938267,0.33409374999999997,0.1996279561390211
rollout_v1,KoVAE-Rollout,7,TEMP,SLOW,1,4,32,real_train,1000,1000,0.24869400803575265,-0.14539093262515962,0.39408494066091226,0.46642613335057675,0.11387079759043661,0.35255533576014014,0.214875,0.3208822112024334
rollout_v1,KoVAE-Rollout,8,ACC_x,ACC,0,32,256,real_train,1000,1000,0.4439951364207809,0.23109631004075346,0.21289882638002747,0.8322470896390439,0.24344448215913395,0.58880260747991,0.303828125,0.5629882666942111
rollout_v1,KoVAE-Rollout,8,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.5324131168325839,0.22807838812682893,0.7604915049594128,0.7520159251196115,0.21064039243600977,0.5413755326836017,0.19022656250000003,0.3603275031309479
rollout_v1,KoVAE-Rollout,8,ACC_z,ACC,2,32,256,real_train,1000,1000,0.5447352361575613,0.09482811708120426,0.449907119076357,0.8384443828678851,0.19221745466172507,0.6462269282061601,0.22138671875,0.260913002911837
rollout_v1,KoVAE-Rollout,8,BVP,BVP,0,64,512,real_train,1000,1000,-0.0015499358454972344,-0.11872965316867067,0.11717971732317344,1.0035880424007,0.2175312171486598,0.7860568252520401,0.475109375,0.2364093400714702
rollout_v1,KoVAE-Rollout,8,EDA,SLOW,0,4,32,real_train,1000,1000,-0.1693078191408988,0.015044788833532947,0.18435260797443173,0.7358846071929137,0.11637330765214557,0.6195112995407681,0.14390625,0.38708471342065204
rollout_v1,KoVAE-Rollout,8,TEMP,SLOW,1,4,32,real_train,1000,1000,0.33612613809163305,-0.1390346002194565,0.4751607383110895,0.7228785726436917,0.14407248562360367,0.5788060870200881,0.19396875,0.4408489494849891
