method,method_display_name,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,feature_dim,real_train_sampled_windows,synthetic_sampled_windows,real_train_to_nearest_real_train_mse_mean,real_train_to_nearest_real_train_mse_std,real_train_to_nearest_real_train_mse_p01,real_train_to_nearest_real_train_mse_p05,real_train_to_nearest_real_train_mse_p50,real_train_to_nearest_real_train_mse_p95,real_train_to_nearest_real_train_mse_p99,syn_to_nearest_train_real_mse_mean,syn_to_nearest_train_real_mse_std,syn_to_nearest_train_real_mse_p01,syn_to_nearest_train_real_mse_p05,syn_to_nearest_train_real_mse_p50,syn_to_nearest_train_real_mse_p95,syn_to_nearest_train_real_mse_p99,syn_to_nearest_syn_mse_mean,syn_to_nearest_syn_mse_std,syn_to_nearest_syn_mse_p01,syn_to_nearest_syn_mse_p05,syn_to_nearest_syn_mse_p50,syn_to_nearest_syn_mse_p95,syn_to_nearest_syn_mse_p99,copy_ratio_mean,near_duplicate_threshold_real_train_p01_mse,near_duplicate_rate_p01_lower_is_better,synthetic_diversity_ratio_mean
prior_v1,TimeVAE-Prior,1,ACC_x,ACC,0,32,256,256,1000,1000,0.03155592592479661,0.10534223983240722,0.0,3.337860107421875e-06,0.0007177591323852539,0.18991701155900942,0.5012300157546997,0.3371336976587772,0.2084085265537272,0.03848807811737061,0.08452762365341186,0.28760072588920593,0.7446779012680053,0.9556364363431926,0.2508547708392143,0.1387903457196465,0.04916292428970337,0.08015608787536621,0.22161227464675903,0.5230218768119812,0.69973215341568,10.683688967397972,0.0,0.0,7.949529715497681
prior_v1,TimeVAE-Prior,1,ACC_y,ACC,1,32,256,256,1000,1000,0.008151948091646773,0.03249241100767511,0.0,0.0,0.00016161799430847168,0.043747080862522054,0.19718611061573024,0.19996992506179959,0.1688109034737694,0.016788185089826584,0.029543918371200562,0.14850342273712158,0.5379278719425199,0.8017826813459394,0.106945311229676,0.07981676896164723,0.020762699544429778,0.02786504030227661,0.08470910787582397,0.2695070773363113,0.39352001070976256,24.530323649473058,0.0,0.0,13.118988250092256
prior_v1,TimeVAE-Prior,1,ACC_z,ACC,2,32,256,256,1000,1000,0.03821835701185046,0.11481683602348555,0.0,9.888410568237305e-06,0.0005636874702759087,0.23511652946472167,0.6397945868968963,0.36478583253920077,0.16342211662837378,0.0939375376701355,0.13959241807460784,0.34205901622772217,0.6524679124355315,0.863101359605789,0.2733494280874729,0.10113330153587391,0.11072313666343689,0.13828420341014863,0.2559705674648285,0.4534664571285246,0.6119069099426269,9.544780599178837,0.0,0.0,7.152307149224515
prior_v1,TimeVAE-Prior,1,BVP,BVP,0,64,512,512,1000,1000,0.15398242477467283,0.24553663716836063,0.001869747405871749,0.004571116995066404,0.06574369966983795,0.6155206024646757,1.2594090962409972,2.018118332028389,0.7431326225714681,0.682642594575882,0.9527227401733398,1.956283450126648,3.40170122385025,4.181304674148559,2.1723072209954264,0.6153023558373745,1.1496184372901916,1.2848064601421356,2.0982855558395386,3.283003640174865,3.959103462696075,13.10616023212755,0.001869747405871749,0.0,14.107501061723308
prior_v1,TimeVAE-Prior,1,EDA,SLOW,0,4,32,32,1000,1000,2.6020560331744493e-05,0.00012240931710082392,0.0,0.0,2.384185791015625e-07,0.00010730028152465808,0.0005743417516350745,0.017726824150886385,0.04160192581813188,0.0007583713531494141,0.0016823947429656983,0.011071939021348953,0.03527412116527557,0.20394231319427483,0.009877815417479724,0.005384003235661819,0.0010750281810760498,0.0018036127090454103,0.009355278685688972,0.020338970422744743,0.024898348450660704,681.2621990026887,0.0,0.0,379.615784269988
prior_v1,TimeVAE-Prior,1,TEMP,SLOW,1,4,32,32,1000,1000,6.561272172257304e-05,6.42177058576176e-05,4.470348358154297e-08,1.609325408935547e-05,4.9933791160583496e-05,0.00015717744827270508,0.00025157213211059567,0.014264921591617167,0.04326924409324694,0.001975954473018646,0.003070347011089325,0.00831267237663269,0.023720258474349974,0.14283092200756053,0.009139269768260419,0.004416328313414887,0.0026453137397766113,0.003860720992088318,0.008311651647090912,0.016733822785317893,0.02272628773003816,217.41091082812895,4.470348358154297e-08,0.0,139.29112416496807
prior_v1,TimeVAE-Prior,2,ACC_x,ACC,0,32,256,256,1000,1000,0.33473942172527316,0.2967265607001322,0.06029224395751953,0.08403984904289245,0.2386624813079834,0.9307205945253368,1.5398446369171133,0.551381851196289,0.26795025535713357,0.1500465089082718,0.20010040700435638,0.5072706937789917,1.0546959459781644,1.3625043463706965,0.3568147639930248,0.14686620361358735,0.12753906786441804,0.1744757890701294,0.3329046368598938,0.6274452567100524,0.8256613254547118,1.6471972388385683,0.06029224395751953,0.0,1.065947841320791
prior_v1,TimeVAE-Prior,2,ACC_y,ACC,1,32,256,256,1000,1000,0.2826817053258419,0.19708846400668031,0.072532958984375,0.09235317707061767,0.22537565231323242,0.6935312271118163,0.9045817565917965,0.43793527194857595,0.23859071358231007,0.05264242172241211,0.11524312496185303,0.4023717939853668,0.8854713678359984,1.1280678868293759,0.2049841450303793,0.10275761401233212,0.04178348064422607,0.061261665821075444,0.19370794296264648,0.383871591091156,0.5252863276004791,1.5492168884568465,0.072532958984375,0.021,0.7251411788184096
prior_v1,TimeVAE-Prior,2,ACC_z,ACC,2,32,256,256,1000,1000,0.24607780609279872,0.26188543464496344,0.05031383037567139,0.07207619100809097,0.15772342681884766,0.6856620669364927,1.4124596977233879,0.4283407471477985,0.20301705656731467,0.11087102472782134,0.155781289935112,0.39767175912857056,0.8063757419586179,1.0117379069328307,0.2812562288418412,0.11663448726127988,0.11126273773610593,0.13888836205005645,0.25832599401474,0.5036181777715681,0.6500106787681579,1.7406720010591543,0.05031383037567139,0.0,1.1429565035043279
prior_v1,TimeVAE-Prior,2,BVP,BVP,0,64,512,512,1000,1000,0.74099274376221,1.2196839385430607,0.0283722878806293,0.042903630435466765,0.3630807548761368,2.4794129490852352,7.2331513595581045,1.8148449340313673,0.7088872447471376,0.5987584799528122,0.809669017791748,1.7249992489814758,3.101709687709808,3.9030303144454956,1.8925405560135842,0.6100733864144346,0.7991554284095764,1.024435842037201,1.8150956630706787,3.060463070869446,3.728444836139679,2.449207430584184,0.0283722878806293,0.0,2.554060848699639
